elapsed_s,phase,force_sample_fresh,force_raw_n,force_baseline_n,force_delta_n,force_delta_abs_n,force_raw_g,force_baseline_g,force_delta_g,force_delta_abs_g,tool_z_m,travel_down_mm,frame_sequence,cell_index,display_row,column,raw,calibration,diff,diff_percent,raw_ave,diff_ave,diff_percent_ave,taxel_000_diff_ave,taxel_001_diff_ave,taxel_002_diff_ave,taxel_003_diff_ave,taxel_004_diff_ave,taxel_005_diff_ave,taxel_006_diff_ave,taxel_007_diff_ave,taxel_008_diff_ave,taxel_009_diff_ave,taxel_010_diff_ave,taxel_011_diff_ave,taxel_012_diff_ave,taxel_013_diff_ave,taxel_014_diff_ave,taxel_015_diff_ave,taxel_016_diff_ave,taxel_017_diff_ave,taxel_018_diff_ave,taxel_019_diff_ave,taxel_020_diff_ave,taxel_021_diff_ave,taxel_022_diff_ave,taxel_023_diff_ave,taxel_024_diff_ave,taxel_025_diff_ave,taxel_026_diff_ave,taxel_027_diff_ave,taxel_028_diff_ave,taxel_029_diff_ave,taxel_030_diff_ave,taxel_031_diff_ave,taxel_032_diff_ave,taxel_033_diff_ave,taxel_034_diff_ave,taxel_035_diff_ave,taxel_036_diff_ave,taxel_037_diff_ave,taxel_038_diff_ave,taxel_039_diff_ave,taxel_040_diff_ave,taxel_041_diff_ave,taxel_042_diff_ave,taxel_043_diff_ave,taxel_044_diff_ave,taxel_045_diff_ave,taxel_046_diff_ave,taxel_047_diff_ave,taxel_048_diff_ave,taxel_049_diff_ave,taxel_050_diff_ave,taxel_051_diff_ave,taxel_052_diff_ave,taxel_053_diff_ave,taxel_054_diff_ave,taxel_055_diff_ave,taxel_056_diff_ave,taxel_057_diff_ave,taxel_058_diff_ave,taxel_059_diff_ave,taxel_060_diff_ave,taxel_061_diff_ave,taxel_062_diff_ave,taxel_063_diff_ave,taxel_064_diff_ave,taxel_065_diff_ave,taxel_066_diff_ave,taxel_067_diff_ave,taxel_068_diff_ave,taxel_069_diff_ave,taxel_070_diff_ave,taxel_071_diff_ave,taxel_072_diff_ave,taxel_073_diff_ave,taxel_074_diff_ave,taxel_075_diff_ave,taxel_076_diff_ave,taxel_077_diff_ave,taxel_078_diff_ave,taxel_079_diff_ave
1.0534902699291706,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.158807861328125,0.0,47360,35,3,4,10760.0,10764.0,-4.0,-0.03716090672612412,10757.666666666666,-6.333333333333333,-0.05883810231636319,-14.0,-9.0,-7.0,-8.333333333333334,-6.0,-11.666666666666666,-1.0,-6.0,-10.0,-8.333333333333334,-11.0,-9.0,-15.0,-5.666666666666667,-4.0,-10.666666666666666,-5.0,-5.333333333333333,-5.0,-2.0,-9.0,3.0,-4.0,0.0,-10.0,-7.0,-12.0,-8.333333333333334,-11.0,1.6666666666666667,-11.0,-1.0,-6.0,-7.0,-11.0,-6.333333333333333,-8.0,-3.0,-9.0,-1.3333333333333333,-5.0,-4.666666666666667,-10.0,-2.6666666666666665,-11.0,-0.3333333333333333,-8.0,-1.3333333333333333,-7.0,-7.333333333333333,-10.0,-5.333333333333333,-6.0,2.3333333333333335,-9.0,0.0,-7.0,-1.6666666666666667,-13.0,-7.666666666666667,-8.0,-4.666666666666667,-8.0,-6.333333333333333,-2.0,-6.0,-12.0,-10.0,-18.0,-3.6666666666666665,-9.0,-3.0,-5.0,-6.666666666666667,-12.0,-7.666666666666667,-8.0,-1.6666666666666667,-14.0,-5.666666666666667
1.117041802033782,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.158807861328125,0.0,47364,35,3,4,10760.0,10764.0,-4.0,-0.03716090672612412,10760.0,-4.0,-0.03716090672612412,-18.0,-5.0,-12.0,-3.6666666666666665,-15.0,-1.6666666666666667,-17.0,-4.666666666666667,-16.0,-5.333333333333333,-7.0,-7.666666666666667,-9.0,3.0,-8.0,-2.3333333333333335,-14.0,-4.333333333333333,-8.0,-0.6666666666666666,-12.0,4.666666666666667,-11.0,1.6666666666666667,-16.0,-4.333333333333333,-10.0,-7.333333333333333,-10.0,4.0,-13.0,-3.0,-6.0,-4.333333333333333,-5.0,-4.0,-8.0,1.0,-9.0,-1.0,-11.0,-3.0,-9.0,-1.6666666666666667,-9.0,2.0,-11.0,-2.0,-9.0,-6.333333333333333,-6.0,-3.0,-6.0,5.0,-11.0,-1.3333333333333333,-7.0,-1.6666666666666667,-8.0,-6.333333333333333,-10.0,0.3333333333333333,-11.0,-5.333333333333333,-12.0,-4.333333333333333,-13.0,-8.666666666666666,-14.0,-1.6666666666666667,-17.0,-1.3333333333333333,-16.0,-5.666666666666667,-12.0,-7.333333333333333,-14.0,-0.6666666666666666,-18.0,-6.0
1.1369360410608351,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.158807861328125,0.0,47372,35,3,4,10757.0,10764.0,-7.0,-0.0650315867707172,10757.0,-7.0,-0.0650315867707172,-19.0,-11.0,-14.0,-6.0,-19.0,-9.0,-16.0,-4.0,-18.0,-13.0,-19.0,-7.0,-16.0,-2.0,-15.0,-10.0,-14.0,-12.0,-12.0,-3.0,-13.0,-7.0,-7.0,-6.0,-13.0,-15.0,-14.0,-10.0,-12.0,-5.0,-12.0,-4.0,-13.0,-11.0,-15.0,-7.0,-9.0,-7.0,-12.0,-8.0,-16.0,-8.0,-10.0,-5.0,-12.0,-9.0,-5.0,-8.0,-9.0,-10.0,-14.0,-6.0,-6.0,0.0,-13.0,-3.0,-15.0,-8.0,-14.0,-8.0,-20.0,-5.0,-10.0,-10.0,-13.0,-10.0,-12.0,-9.0,-19.0,-10.0,-15.0,-10.0,-16.0,-13.0,-20.0,-10.0,-19.0,-9.0,-16.0,-7.0
1.1867125420831144,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.158807861328125,0.0,47381,35,3,4,10754.0,10764.0,-10.0,-0.09290226681531029,10754.0,-10.0,-0.09290226681531029,-20.0,-2.0,-10.0,-7.0,-15.0,-4.0,-5.0,-7.0,-13.0,-8.0,-12.0,-14.0,-22.0,-2.0,-11.0,-8.0,-9.0,-4.0,-4.0,-4.0,-7.0,1.0,-5.0,-1.0,-16.0,-4.0,-7.0,-12.0,-16.0,0.0,-9.0,-2.0,-7.0,-3.0,-9.0,-10.0,-15.0,-4.0,-8.0,-4.0,-11.0,1.0,-4.0,-3.0,-9.0,-3.0,-5.0,-4.0,-6.0,-5.0,-6.0,-10.0,-8.0,4.0,-6.0,2.0,-14.0,-3.0,-10.0,-6.0,-19.0,-7.0,-7.0,-10.0,-12.0,-4.333333333333333,-13.0,-12.0,-18.0,-5.333333333333333,-13.0,-6.333333333333333,-11.0,-6.0,-12.0,-11.333333333333334,-16.0,-6.0,-16.0,-6.666666666666667
1.237453541951254,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.15881048583984375,0.0,47392,35,3,4,10753.0,10764.0,-11.0,-0.10219249349684133,10753.0,-11.0,-0.10219249349684133,-13.666666666666666,-10.0,-10.666666666666666,-9.0,-10.333333333333334,-12.0,-10.666666666666666,-13.0,-16.666666666666668,-10.0,-17.333333333333332,-13.0,-15.666666666666666,-5.0,-4.0,-9.0,-8.0,-10.0,-13.333333333333334,-10.0,-9.333333333333334,-10.0,-7.0,-8.0,-13.666666666666666,-8.0,-15.333333333333334,-11.0,-14.666666666666666,-6.0,-6.666666666666667,-8.0,-9.333333333333334,-9.0,-12.333333333333334,-11.0,-15.666666666666666,-9.0,-4.666666666666667,-8.0,-10.333333333333334,-3.0,-14.666666666666666,-7.0,-9.0,-6.0,-7.0,-12.0,-5.0,-10.0,-11.0,-14.0,-6.333333333333333,-6.0,-8.0,-9.0,-14.0,-3.0,-10.666666666666666,-11.0,-13.0,-11.0,-7.666666666666667,-14.0,-8.0,-4.0,-16.0,-18.0,-13.0,-13.0,-9.333333333333334,-15.0,-9.0,-16.0,-15.333333333333334,-13.0,-13.666666666666666,-15.0,-16.333333333333332,-16.0
1.3003855410497636,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.1588115234375,0.0,47402,35,3,4,10758.0,10764.0,-6.0,-0.055741360089186176,10758.0,-6.0,-0.055741360089186176,-16.0,-7.0,-16.0,-7.0,-15.666666666666666,-12.0,-10.666666666666666,-6.0,-15.0,-7.0,-14.0,-9.0,-21.0,-4.0,-4.0,-2.0,-10.0,-10.0,-13.0,-8.0,-13.0,-12.0,-10.0,-1.0,-16.0,-13.0,-16.0,-10.0,-13.0,-4.0,-15.0,-5.0,-8.0,-9.0,-13.0,-6.0,-17.0,-7.0,-8.0,0.0,-13.0,-8.0,-13.0,-7.0,-10.0,-11.0,-11.0,-4.0,-5.0,-9.0,-18.0,-7.0,-10.0,0.0,-11.0,-3.0,-16.0,-3.0,-17.0,-9.0,-26.0,-8.0,-16.0,-5.0,-11.0,-7.0,-15.0,-18.0,-19.0,-13.0,-10.0,-6.0,-10.0,-12.0,-22.0,-10.0,-18.0,-8.0,-19.0,-3.0
1.3486760489176959,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.1588115234375,0.0,47408,35,3,4,10759.0,10764.0,-5.0,-0.046451133407655144,10759.0,-5.0,-0.046451133407655144,-18.0,-6.0,-14.0,-7.0,-18.666666666666668,-6.0,-11.0,-6.0,-15.666666666666666,-7.0,-15.333333333333334,-4.0,-21.0,-6.0,-9.333333333333334,-8.0,-14.0,-5.0,-13.666666666666666,-8.0,-11.666666666666666,-6.0,-7.333333333333333,-1.0,-14.0,-8.0,-16.666666666666668,-9.0,-11.0,-2.0,-8.333333333333334,-3.0,-6.666666666666667,-5.0,-11.666666666666666,-5.0,-17.0,-6.0,-9.333333333333334,-5.0,-12.333333333333334,-6.0,-14.333333333333334,-6.0,-11.333333333333334,-5.0,-8.333333333333334,-6.0,-9.0,-13.0,-15.333333333333334,-11.0,-10.0,-4.0,-8.333333333333334,-1.0,-12.0,-2.0,-11.0,-7.0,-22.0,-3.0,-13.333333333333334,-9.0,-14.333333333333334,-7.0,-19.0,-9.0,-21.0,-11.0,-14.666666666666666,-7.0,-18.0,-10.0,-20.666666666666668,-11.0,-17.333333333333332,-8.0,-17.666666666666668,-6.0
1.4047922401223332,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.1588115234375,0.0,47415,35,3,4,10755.0,10764.0,-9.0,-0.08361204013377926,10752.333333333334,-11.666666666666666,-0.10838597795119535,-16.0,-7.0,-15.0,-8.666666666666666,-7.0,-1.3333333333333333,-13.0,-5.333333333333333,-19.0,-7.0,-16.0,-9.333333333333334,-14.0,2.3333333333333335,-8.0,-8.666666666666666,-10.0,-9.0,-12.0,-10.0,-10.0,-6.0,-7.0,-5.666666666666667,-10.0,-14.333333333333334,-11.0,-9.666666666666666,-8.0,2.0,-11.0,-8.333333333333334,-7.0,-8.666666666666666,-14.0,-11.666666666666666,-8.0,-3.0,-7.0,-8.333333333333334,-7.0,-3.3333333333333335,-8.0,-6.666666666666667,-7.0,-1.3333333333333333,-4.0,-4.333333333333333,-8.0,-12.333333333333334,-6.0,-14.0,-7.0,4.0,-11.0,-8.0,-9.0,-3.3333333333333335,-13.0,-14.333333333333334,-9.0,-4.666666666666667,-13.0,-9.333333333333334,-7.0,-6.666666666666667,-11.0,-15.0,-10.0,-3.0,-10.0,-8.666666666666666,-10.0,-11.333333333333334,-16.0,-13.666666666666666,-10.0,-6.666666666666667,-14.0,-13.0
1.4511897899210453,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.1588115234375,0.0,47419,35,3,4,10755.0,10764.0,-9.0,-0.08361204013377926,10755.0,-9.0,-0.08361204013377926,-20.0,-9.0,-15.0,-8.0,-14.0,-10.0,-13.0,-10.0,-14.0,-11.0,-14.0,-6.0,-20.0,1.0,-17.0,-4.0,-12.0,-9.0,-12.0,0.0,-9.0,-6.0,-16.0,-5.0,-12.0,-11.0,-12.0,-7.0,-12.0,0.0,-17.0,-7.0,-9.0,-14.0,-14.0,-9.0,-13.0,-3.0,-17.0,-3.0,-10.0,-6.0,-12.0,0.0,-8.0,0.0,-12.0,-7.0,-7.0,-11.0,-7.0,-8.0,-4.0,2.0,-15.0,-4.0,-10.0,-4.0,-11.0,-7.0,-16.0,-6.0,-14.0,-6.0,-14.0,-10.0,-14.0,-9.0,-18.0,-3.0,-18.0,-12.0,-12.0,-10.333333333333334,-18.0,-9.0,-14.0,-8.0,-24.0,-9.0
1.5156161240302026,approaching,True,0.006864655,0.006864655,0.0,0.0,0.7,0.7,0.0,0.0,0.1588115234375,0.0,47424,35,3,4,10761.0,10764.0,-3.0,-0.027870680044593088,10759.333333333334,-4.666666666666667,-0.043354391180478145,-14.0,-6.333333333333333,-13.0,-3.6666666666666665,-18.0,-9.0,-13.0,-5.333333333333333,-15.333333333333334,-6.666666666666667,-14.666666666666666,-8.0,-15.0,-5.666666666666667,-11.0,-9.333333333333334,-8.0,-9.333333333333334,-9.666666666666666,-3.6666666666666665,-8.666666666666666,-5.0,-6.0,-5.666666666666667,-10.0,-9.333333333333334,-14.333333333333334,-7.333333333333333,-11.333333333333334,-3.0,-10.666666666666666,-8.0,-8.333333333333334,-1.3333333333333333,-14.333333333333334,-4.666666666666667,-14.333333333333334,-4.333333333333333,-7.333333333333333,-5.0,-11.333333333333334,-5.0,-12.0,-4.333333333333333,-13.333333333333334,-6.0,-5.333333333333333,-4.666666666666667,-3.0,-4.666666666666667,-9.333333333333334,-2.6666666666666665,-7.333333333333333,0.0,-8.333333333333334,-4.666666666666667,-10.0,1.0,-8.666666666666666,-4.333333333333333,-13.0,-7.333333333333333,-10.0,-8.0,-11.333333333333334,-5.333333333333333,-12.333333333333334,-11.333333333333334,-16.666666666666668,-7.0,-14.0,-5.666666666666667,-7.333333333333333,-12.333333333333334,-16.666666666666668,-6.333333333333333,-17.333333333333332,-6.666666666666667,-19.0,-10.666666666666666
