No,Point Name,X (mm),Y (mm),Z (mm)
1,Point156,50,30,-1.36363636363636
2,Point157,50,30,-2.72727272727273
3,Point158,50,30,-4.09090909090909
4,Point159,50,30,-5.45454545454546
5,Point160,50,30,-6.81818181818182
6,Point161,50,30,-8.18181818181818
7,Point162,50,30,-9.54545454545454
8,Point163,50,30,-10.9090909090909
9,Point164,50,30,-12.2727272727273
10,Point165,50,30,-13.6363636363636
11,Point166,50,32.3809523809524,-15
12,Point167,50,34.7619047619048,-15
13,Point168,50,37.1428571428571,-15
14,Point169,50,39.5238095238095,-15
15,Point170,50,41.9047619047619,-15
16,Point171,50,44.2857142857143,-15
17,Point172,50,46.6666666666667,-15
18,Point173,50,49.0476190476191,-15
19,Point174,50,51.4285714285714,-15
20,Point175,50,53.8095238095238,-15
21,Point176,50,56.1904761904762,-15
22,Point177,50,58.5714285714286,-15
23,Point178,50,60.9523809523809,-15
24,Point179,50,63.3333333333333,-15
25,Point180,50,65.7142857142857,-15
26,Point181,50,68.0952380952381,-15
27,Point182,50,70.4761904761905,-15
28,Point183,50,72.8571428571428,-15
29,Point184,50,75.2380952380952,-15
30,Point185,50,77.6190476190476,-15
31,Point186,50,80,-16.5625
32,Point187,50,80,-18.125
33,Point188,50,80,-19.6875
34,Point189,50,80,-21.25
35,Point190,50,80,-22.8125
36,Point191,50,80,-24.375
37,Point192,50,80,-25.9375
38,Point193,50,80,-27.5
39,Point194,50,80,-29.0625
40,Point195,50,80,-30.625
41,Point196,50,80,-32.1875
42,Point197,50,80,-33.75
43,Point198,50,80,-35.3125
44,Point199,50,80,-36.875
45,Point200,50,80,-38.4375
46,Point201,50,78.125,-40
47,Point202,50,76.25,-40
48,Point203,50,74.375,-40
49,Point204,50,72.5,-40
50,Point205,50,70.625,-40
51,Point206,50,68.75,-40
52,Point207,50,66.875,-40
53,Point208,50,65,-40
54,Point209,50,63.125,-40
55,Point210,50,61.25,-40
56,Point211,50,59.375,-40
57,Point212,50,57.5,-40
58,Point213,50,55.625,-40
59,Point214,50,53.75,-40
60,Point215,50,51.875,-40
61,Point216,50,50.0221048532072,-41.6666666666667
62,Point217,50,50.0442097064143,-43.3333333333333
63,Point218,50,50.0663145596215,-45
64,Point219,50,50.0884194128286,-46.6666666666667
65,Point220,50,50.1105242660358,-48.3333333333333
66,Point221,47.6390466345611,53.4924933862043,-50
67,Point222,47.0221233122399,56.9492467025085,-50
68,Point223,46.1511453867265,60.3509215550028,-50
69,Point224,45.0295833979315,63.6779444831319,-50
70,Point225,43.6631129799604,66.9113855031099,-50
71,Point226,42.0576147649391,70.0327909337271,-50
72,Point227,40.2207574600755,73.024741690345,-50
73,Point228,38.1620652580336,75.8691468689006,-50
74,Point229,35.8919949130824,78.548178028461,-50
75,Point230,33.4235519615282,81.04520838497,-50
76,Point231,30.7704147134764,83.3439695319146,-50
77,Point232,27.9474967891559,85.4298251043982,-50
78,Point233,24.9702974527844,87.2898866718482,-50
79,Point234,21.8558114392355,88.910910774012,-50
80,Point235,18.6230026174521,90.2817969498498,-50
81,Point236,15.2917939236357,91.3920139616576,-50
82,Point237,11.8833528891714,92.2329099211669,-50
83,Point238,8.41928154491394,92.7980225664809,-50
84,Point239,4.92069968974901,93.0817303756961,-50
85,Point240,1.40975926653552,93.0810116271217,-50
86,Point241,-2.08991460319192,92.7935743784113,-50
87,Point242,-5.55421892124494,92.219728371546,-50
88,Point243,-8.95866964594458,91.3619685458317,-50
89,Point244,-12.279020266032,90.2243185251729,-50
90,Point245,-15.4924785768072,88.8134169966009,-50
91,Point246,-18.576625230252,87.136307816451,-50
92,Point247,-21.5082345462386,85.2037405993981,-50
93,Point248,-24.2645403009012,83.0279154802929,-50
94,Point249,-26.8234695778417,80.623792757208,-50
95,Point250,-29.1644541244931,78.0084746019076,-50
96,Point251,-31.2684317726996,75.199924625455,-50
97,Point252,-33.1190912004612,72.2172455061412,-50
