No,Point Name,X (mm),Y (mm),Z (mm),normal_x,normal_y,normal_z
1,Point1,40.0360241823834,103.237539808018,29.7767886071073,0.140480691,-0.226533216,-0.963819422
2,Point2,40.1847325818616,106.397611434419,29.0557297518898,0.166618463,-0.296579383,-0.940361078
3,Point3,40.4130177662046,109.420330644221,27.8933390586862,0.133807718,-0.426606906,-0.894484233
4,Point4,40.695026150168,112.2541587115,26.3389915434954,0.071121019,-0.537903841,-0.840000749
5,Point5,40.9992587862589,114.875782266133,24.4494290291388,-0.014302776,-0.627174846,-0.778747162
6,Point6,41.2916783906693,117.279554617774,22.2804922310853,-0.130369244,-0.690572766,-0.711416275
7,Point7,41.5352807684643,119.468415444304,19.8933758020139,-0.271500469,-0.723143462,-0.635099227
8,Point8,41.693028689823,121.468210826678,17.339619731753,-0.480539101,-0.697627662,-0.531411157
9,Point9,41.7267009537928,123.317278505864,14.6675383396698,-0.716110016,-0.587917911,-0.376216659
10,Point10,41.5958399723117,125.052778132223,11.9233880746568,-0.911507350,-0.380048410,-0.157218182
11,Point11,41.2582660849008,126.72185751494,9.15451273006339,-0.986132721,-0.146857484,0.077298999
12,Point12,40.6708367340896,128.368137617364,6.41810675491061,-0.965107579,-0.000217719,0.261853611
13,Point13,39.7970873697139,130.032662185183,3.7716752200852,-0.903237238,0.088597978,0.419896285
14,Point14,38.6113275268949,131.741603245615,1.27644491439517,-0.832679863,0.103749657,0.543948761
15,Point15,37.1081877259143,133.496007075005,-1.00519707746367,-0.764282937,0.066222455,0.641471885
16,Point16,35.3029136777813,135.277761885226,-3.03057347929709,-0.699918519,-0.005724298,0.714199761
17,Point17,33.2271849040251,137.055566318304,-4.78022247820093,-0.642251179,-0.103816369,0.759431093
18,Point18,30.9168023770893,138.793837532309,-6.25912118981608,-0.587981010,-0.211329767,0.780780418
19,Point19,28.4097185136273,140.457760088254,-7.48706569342601,-0.541139416,-0.334504467,0.771540598
20,Point20,25.7430747645311,142.014974800954,-8.49145291983083,-0.496016231,-0.460941232,0.735867570
21,Point21,22.9410064301674,143.44244606634,-9.30369647501495,-0.449653480,-0.585388052,0.674635143
22,Point22,20.0252357787764,144.720212016867,-9.95508109997209,-0.400746709,-0.706411879,0.583424660
23,Point23,17.0181508548699,145.8316145537,-10.479328920172,-0.345123897,-0.801362006,0.488577968
24,Point24,13.935541636822,146.763252148567,-10.9057714925074,-0.284169953,-0.886168655,0.365995291
25,Point25,10.7927447013568,147.503979346212,-11.2637114522812,-0.216060620,-0.949297210,0.228369473
26,Point26,7.60467708197407,148.041448888741,-11.5822708408378,-0.140916096,-0.986425825,0.084301517
27,Point27,4.38670556893988,148.365516366841,-11.8912703392786,-0.059676715,-0.996189263,-0.063605364
28,Point28,1.15723421519094,148.468642571637,-12.2226559388885,0.026117892,-0.979473586,-0.199873336
29,Point29,-2.06537211621551,148.339940840004,-12.6090192130447,0.115091355,-0.943839728,-0.309710425
30,Point30,-5.25883892544216,147.969668782684,-13.0865570744116,0.210092445,-0.883403203,-0.418879392
31,Point31,-8.38819761930717,147.350706040251,-13.6936885284799,0.308552201,-0.806976177,-0.503572228
32,Point32,-11.4169029023532,146.478675637436,-14.4702571677717,0.410597255,-0.720221416,-0.559187809
33,Point33,-14.2999940732132,145.34961715378,-15.4574751857945,0.515780376,-0.627433336,-0.583350677
34,Point34,-16.9716568707176,143.972117399607,-16.6851920530165,0.621069430,-0.538822333,-0.569160133
35,Point35,-19.369941786365,142.365679577554,-18.1646334989194,0.721117677,-0.449327805,-0.527346016
36,Point36,-21.4402332573338,140.556987789942,-19.8860464129257,0.809816336,-0.374120446,-0.451919677
37,Point37,-23.1523113726935,138.579385519488,-21.8084694941121,0.880959414,-0.320480159,-0.348142181
38,Point38,-24.5044102824802,136.464099893979,-23.8727471462827,0.929660848,-0.298337453,-0.216160756
39,Point39,-25.5216372623156,134.238815427447,-26.0064477708139,0.948434664,-0.312097791,-0.055377407
40,Point40,-26.2520326933003,131.912229408574,-28.1503303711842,0.930446091,-0.346418273,0.119433880
41,Point41,-26.7464567064391,129.484265833039,-30.2540765426868,0.852004509,-0.409277551,0.326466235
42,Point42,-27.0537800523351,126.956135265661,-32.2715650252559,0.712480781,-0.464277245,0.526134751
43,Point43,-27.2189851300298,124.323797703222,-34.1681490378071,0.546888764,-0.485622741,0.681970111
44,Point44,-27.278149178492,121.586079560767,-35.9156958031445,0.369370992,-0.477278307,0.797352173
45,Point45,-27.2663161616235,118.74288793199,-37.4868822839737,0.232892420,-0.438691874,0.867934652
46,Point46,-27.21191629539,115.798355681041,-38.8588190659407,0.122503429,-0.383608317,0.915334676
47,Point47,-27.1349055281563,112.762396801697,-40.0108676454066,0.033477388,-0.317593809,0.947635709
48,Point48,-27.0554298443159,109.647123900271,-40.9259107689936,-0.036743907,-0.243780248,0.969134189
49,Point49,-26.9896880544039,106.467792233781,-41.5887336981813,-0.074565798,-0.165059848,0.983460822
50,Point50,-26.9453416360722,103.245155829698,-41.9920759702343,-0.081666797,-0.124881738,0.988804878
