timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1780041000.000000,0.040036,0.103238,0.029777,0.134500,0.842130,0.522232,-0.000000
1780041000.306686,0.040051,0.104151,0.029710,0.142178,0.849565,0.507961,-0.000000
1780041000.613371,0.040091,0.105059,0.029623,0.149875,0.855813,0.495097,-0.000000
1780041000.920057,0.040149,0.105962,0.029511,0.157598,0.861013,0.483550,-0.000000
1780041001.226743,0.040232,0.106890,0.029306,0.165713,0.865497,0.472709,-0.000000
1780041001.533429,0.040333,0.107747,0.029021,0.174598,0.876499,0.448627,-0.000000
1780041001.840114,0.040438,0.108602,0.028730,0.186037,0.897729,0.399341,-0.000000
1780041002.146800,0.040550,0.109476,0.028445,0.198130,0.914161,0.353630,-0.000000
1780041002.453486,0.040694,0.110340,0.028073,0.210875,0.926742,0.310934,-0.000000
1780041002.760171,0.040855,0.111167,0.027727,0.223303,0.935580,0.273542,-0.000000
1780041003.066857,0.041036,0.112001,0.027401,0.234608,0.944027,0.231887,-0.000000
1780041003.373543,0.041247,0.112894,0.027014,0.246621,0.951094,0.186007,-0.000000
1780041003.680228,0.041468,0.113685,0.026585,0.258123,0.954978,0.146251,-0.000000
1780041003.986914,0.041692,0.114461,0.026151,0.269765,0.956659,0.109686,-0.000000
1780041004.293600,0.041917,0.115240,0.025700,0.281590,0.956623,0.074701,-0.000000
1780041004.600286,0.042167,0.116054,0.025119,0.293362,0.955487,0.031360,-0.000000
1780041004.906971,0.042416,0.116758,0.024579,0.304216,0.952593,-0.004487,0.000000
1780041005.213657,0.042684,0.117463,0.024042,0.315379,0.948210,-0.037864,0.000000
1780041005.520343,0.042989,0.118237,0.023424,0.328114,0.941869,-0.072281,0.000000
1780041005.827029,0.043302,0.118899,0.022768,0.339340,0.934207,-0.110028,0.000000
1780041006.133714,0.043612,0.119506,0.022122,0.349977,0.925193,-0.146748,0.000000
1780041006.440400,0.043911,0.120091,0.021434,0.361060,0.914702,-0.181537,0.000000
1780041006.747086,0.044208,0.120684,0.020545,0.374317,0.901027,-0.219175,0.000000
1780041007.053771,0.044459,0.121082,0.019703,0.385731,0.887336,-0.252679,0.000000
1780041007.360457,0.044683,0.121443,0.018828,0.396875,0.870998,-0.289573,0.000000
1780041007.667143,0.044904,0.121820,0.017862,0.409439,0.851861,-0.326639,0.000000
1780041007.973829,0.045103,0.122048,0.016806,0.422782,0.831035,-0.361437,0.000000
1780041008.280514,0.045297,0.122174,0.015773,0.436123,0.807801,-0.396554,0.000000
1780041008.587200,0.045467,0.122231,0.014692,0.451046,0.773539,-0.445191,0.000000
1780041008.893886,0.045537,0.122255,0.013426,0.469268,0.731536,-0.494614,0.000000
1780041009.200572,0.045410,0.122087,0.012225,0.487502,0.689684,-0.535423,0.000000
1780041009.507257,0.045066,0.121915,0.011030,0.508442,0.636567,-0.579888,0.000000
1780041009.813943,0.044492,0.121834,0.009867,0.532222,0.573554,-0.622716,0.000000
1780041010.120629,0.043691,0.121882,0.008813,0.557356,0.508529,-0.656317,0.000000
1780041010.427314,0.042753,0.122061,0.007942,0.583214,0.442444,-0.681252,0.000000
1780041010.734000,0.041757,0.122423,0.007190,0.611766,0.367942,-0.700258,0.000000
1780041011.040686,0.040795,0.122925,0.006566,0.639337,0.298127,-0.708780,0.000000
1780041011.347371,0.039910,0.123507,0.006015,0.664863,0.235391,-0.708906,0.000000
1780041011.654057,0.039050,0.124163,0.005495,0.689246,0.179545,-0.701928,0.000000
1780041011.960743,0.038222,0.124876,0.005034,0.712770,0.126514,-0.689894,0.000000
1780041012.267429,0.037458,0.125550,0.004763,0.733002,0.081364,-0.675342,0.000000
1780041012.574114,0.036705,0.126385,0.004399,0.754090,0.036289,-0.655767,0.000000
1780041012.880800,0.036035,0.127309,0.004064,0.771115,0.007949,-0.636646,0.000000
1780041013.187486,0.035544,0.128130,0.003996,0.784521,-0.014589,-0.619931,0.000000
1780041013.494171,0.035054,0.129017,0.003796,0.798539,-0.038319,-0.600723,0.000000
