timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1780043000.000000,0.040036,0.103238,0.029777,0.134500,0.842130,0.522232,-0.000000
1780043000.242757,0.039834,0.104074,0.029553,0.142986,0.852369,0.503013,-0.000000
1780043000.485513,0.039639,0.104922,0.029376,0.151533,0.860754,0.485943,-0.000000
1780043000.728270,0.039468,0.105777,0.029238,0.160108,0.867605,0.470773,-0.000000
1780043000.971027,0.039341,0.106652,0.029096,0.168857,0.873227,0.457124,-0.000000
1780043001.213784,0.039278,0.107502,0.028889,0.181207,0.897668,0.401692,-0.000000
1780043001.456541,0.039263,0.108347,0.028688,0.194461,0.916919,0.348488,-0.000000
1780043001.699297,0.039292,0.109188,0.028480,0.208177,0.930518,0.301329,-0.000000
1780043001.942054,0.039369,0.110073,0.028182,0.223387,0.940441,0.256258,-0.000000
1780043002.184811,0.039481,0.110861,0.027841,0.236005,0.948827,0.209831,-0.000000
1780043002.427567,0.039617,0.111636,0.027479,0.248623,0.954423,0.165115,-0.000000
1780043002.670324,0.039765,0.112404,0.027096,0.261682,0.957148,0.124060,-0.000000
1780043002.913081,0.039934,0.113193,0.026595,0.276220,0.957456,0.083546,-0.000000
1780043003.155838,0.040108,0.113880,0.026091,0.288497,0.956470,0.043975,-0.000000
1780043003.398595,0.040284,0.114555,0.025569,0.300572,0.953746,0.005039,-0.000000
1780043003.641351,0.040459,0.115241,0.025021,0.313308,0.949122,-0.031700,0.000000
1780043003.884108,0.040627,0.115885,0.024396,0.326540,0.942884,-0.065886,0.000000
1780043004.126865,0.040774,0.116494,0.023796,0.338377,0.935419,-0.102429,0.000000
1780043004.369622,0.040900,0.117120,0.023212,0.349848,0.926160,-0.140836,0.000000
1780043004.612378,0.041002,0.117794,0.022631,0.362099,0.914997,-0.177944,0.000000
1780043004.855135,0.041059,0.118478,0.022076,0.374469,0.902698,-0.211916,0.000000
1780043005.097892,0.041101,0.119217,0.021595,0.386574,0.888397,-0.247612,0.000000
1780043005.340649,0.041156,0.120004,0.021161,0.398634,0.871165,-0.286638,0.000000
1780043005.583405,0.041256,0.120874,0.020666,0.412598,0.850324,-0.326669,0.000000
1780043005.826162,0.041421,0.121677,0.020208,0.425954,0.829825,-0.360491,0.000000
1780043006.068919,0.041663,0.122465,0.019751,0.440146,0.802007,-0.403802,0.000000
1780043006.311676,0.041989,0.123239,0.019272,0.455741,0.766417,-0.452665,0.000000
1780043006.554432,0.042421,0.124056,0.018610,0.475037,0.722331,-0.502572,0.000000
1780043006.797189,0.042959,0.124702,0.018015,0.493209,0.680954,-0.541338,0.000000
1780043007.039946,0.043595,0.125264,0.017361,0.515094,0.622717,-0.588983,0.000000
1780043007.282703,0.044310,0.125742,0.016582,0.540015,0.557678,-0.630380,0.000000
1780043007.525460,0.045056,0.126113,0.015507,0.569998,0.481729,-0.665612,0.000000
1780043007.768216,0.045759,0.126148,0.014463,0.601824,0.398419,-0.692149,0.000000
1780043008.010973,0.046304,0.125978,0.013294,0.635214,0.313590,-0.705808,0.000000
1780043008.253730,0.046583,0.125750,0.011890,0.671032,0.226998,-0.705825,0.000000
1780043008.496486,0.046531,0.125426,0.010494,0.704718,0.150785,-0.693280,0.000000
1780043008.739243,0.046213,0.125006,0.009254,0.734880,0.083785,-0.673002,0.000000
1780043008.982000,0.045637,0.124652,0.008085,0.759760,0.037441,-0.649124,0.000000
1780043009.224757,0.044835,0.124562,0.006846,0.783523,-0.000775,-0.621362,0.000000
1780043009.467514,0.043961,0.124556,0.005934,0.802726,-0.031471,-0.595517,0.000000
1780043009.710270,0.043043,0.124649,0.005157,0.818778,-0.048331,-0.572073,0.000000
1780043009.953027,0.042109,0.124870,0.004461,0.833776,-0.063574,-0.548431,0.000000
1780043010.195784,0.041154,0.125287,0.003748,0.848922,-0.078787,-0.522613,0.000000
1780043010.438540,0.040267,0.125725,0.003254,0.859823,-0.079751,-0.504325,0.000000
1780043010.681297,0.039435,0.126262,0.002806,0.870103,-0.080114,-0.486316,0.000000
1780043010.924054,0.038673,0.126883,0.002391,0.879860,-0.080539,-0.468359,0.000000
1780043011.166811,0.037995,0.127522,0.002054,0.887997,-0.076785,-0.453393,0.000000
1780043011.409568,0.037352,0.128188,0.001691,0.895430,-0.069957,-0.439672,0.000000
1780043011.652324,0.036731,0.128845,0.001311,0.902566,-0.063466,-0.425848,0.000000
1780043011.895081,0.036136,0.129438,0.000984,0.908922,-0.057638,-0.412964,0.000000
1780043012.137838,0.035509,0.129943,0.000752,0.913966,-0.049168,-0.402801,0.000000
1780043012.380595,0.034785,0.130512,0.000435,0.919356,-0.038092,-0.391577,0.000000
1780043012.623351,0.034041,0.131092,0.000138,0.924569,-0.026788,-0.380071,0.000000
1780043012.866108,0.033459,0.131514,0.000089,0.928188,-0.018512,-0.371650,0.000000
1780043013.108865,0.032795,0.132031,-0.000035,0.931654,-0.006692,-0.363285,0.000000
1780043013.351622,0.032129,0.132658,-0.000269,0.934861,0.007843,-0.354927,0.000000
1780043013.594378,0.031549,0.133317,-0.000552,0.937794,0.021904,-0.346500,0.000000
1780043013.837135,0.031361,0.133674,-0.000556,0.939022,0.027988,-0.342715,0.000000
1780043014.079892,0.030903,0.134276,-0.000886,0.941426,0.040201,-0.334814,0.000000
1780043014.322649,0.030450,0.134904,-0.001305,0.943107,0.054349,-0.328019,0.000000
1780043014.565405,0.030032,0.135501,-0.001747,0.944592,0.067828,-0.321163,0.000000
1780043014.808162,0.029921,0.135785,-0.001930,0.945174,0.073388,-0.318214,0.000000
1780043015.050919,0.029385,0.136324,-0.002348,0.946487,0.086763,-0.310860,0.000000
1780043015.293676,0.028829,0.136842,-0.002758,0.947434,0.100332,-0.303814,0.000000
1780043015.536433,0.028362,0.137279,-0.003107,0.947343,0.113504,-0.299428,0.000000
1780043015.779189,0.028022,0.137563,-0.003348,0.947190,0.122630,-0.296298,0.000000
1780043016.021946,0.027402,0.138030,-0.003731,0.946745,0.138278,-0.290780,0.000000
1780043016.264703,0.026798,0.138511,-0.004130,0.946062,0.153995,-0.285048,0.000000
1780043016.507459,0.026395,0.138892,-0.004460,0.945294,0.165810,-0.280939,0.000000
1780043016.750216,0.025896,0.139280,-0.004769,0.943821,0.179585,-0.277400,0.000000
1780043016.992973,0.025245,0.139755,-0.005101,0.941778,0.196620,-0.272755,0.000000
1780043017.235730,0.024580,0.140229,-0.005393,0.939519,0.213436,-0.267860,0.000000
1780043017.478487,0.024152,0.140558,-0.005555,0.937937,0.224269,-0.264533,0.000000
1780043017.721243,0.023453,0.140973,-0.005701,0.935215,0.240404,-0.259960,0.000000
1780043017.964000,0.022719,0.141416,-0.005817,0.931723,0.257930,-0.255663,0.000000
1780043018.206757,0.021991,0.141883,-0.005905,0.927934,0.275511,-0.251063,0.000000
1780043018.449513,0.021528,0.142239,-0.005921,0.925226,0.287292,-0.247830,0.000000
1780043018.692270,0.020803,0.142718,-0.005973,0.920936,0.304814,-0.242826,0.000000
1780043018.935027,0.020087,0.143241,-0.006036,0.915441,0.324125,-0.238558,0.000000
1780043019.177784,0.019414,0.143787,-0.006093,0.909545,0.343302,-0.234248,0.000000
1780043019.420541,0.018896,0.144283,-0.006084,0.904408,0.359089,-0.230439,0.000000
1780043019.663297,0.018186,0.144879,-0.006046,0.897483,0.379246,-0.225160,0.000000
1780043019.906054,0.017489,0.145521,-0.005960,0.890572,0.398407,-0.219437,0.000000
1780043020.148811,0.016871,0.146204,-0.005839,0.883945,0.416022,-0.213464,0.000000
1780043020.391568,0.016257,0.146886,-0.005697,0.877220,0.433130,-0.207084,0.000000
1780043020.634324,0.015584,0.147651,-0.005612,0.869752,0.451302,-0.199644,0.000000
1780043020.877081,0.014930,0.148450,-0.005637,0.861001,0.470848,-0.192300,0.000000
1780043021.119838,0.014264,0.149239,-0.005806,0.851578,0.490700,-0.184468,0.000000
1780043021.362595,0.013555,0.149931,-0.006118,0.841844,0.510136,-0.176241,0.000000
1780043021.605351,0.012834,0.150523,-0.006574,0.831552,0.529527,-0.167696,0.000000
1780043021.848108,0.012086,0.150976,-0.007157,0.820260,0.549567,-0.158584,0.000000
1780043022.090865,0.011115,0.151307,-0.007818,0.806485,0.572604,-0.147332,0.000000
1780043022.333622,0.010281,0.151434,-0.008471,0.794015,0.592269,-0.136956,0.000000
1780043022.576378,0.009430,0.151466,-0.009088,0.781390,0.611213,-0.125892,0.000000
1780043022.819135,0.008563,0.151432,-0.009645,0.768735,0.629253,-0.114397,0.000000
1780043023.061892,0.007477,0.151359,-0.010148,0.753788,0.649416,-0.100318,0.000000
1780043023.304649,0.006600,0.151191,-0.010568,0.741217,0.665478,-0.087956,0.000000
1780043023.547405,0.005718,0.151006,-0.010924,0.728511,0.680918,-0.074985,0.000000
1780043023.790162,0.004790,0.150826,-0.011226,0.715160,0.696287,-0.061088,0.000000
1780043024.032919,0.003794,0.150629,-0.011490,0.700705,0.711980,-0.045797,0.000000
1780043024.275676,0.002929,0.150475,-0.011692,0.688834,0.724238,-0.031397,0.000000
1780043024.518432,0.002068,0.150427,-0.011851,0.677035,0.735760,-0.016780,0.000000
1780043024.761189,0.001124,0.150524,-0.011983,0.663936,0.747790,-0.000188,0.000000
1780043025.003946,0.000202,0.150649,-0.012118,0.651048,0.758853,0.016673,-0.000000
1780043025.246703,-0.000661,0.150823,-0.012232,0.640764,0.766990,0.033871,-0.000000
1780043025.489460,-0.001527,0.151022,-0.012333,0.630312,0.774611,0.051816,-0.000000
1780043025.732216,-0.002588,0.151181,-0.012454,0.617546,0.783026,0.074217,-0.000000
1780043025.974973,-0.003492,0.151252,-0.012557,0.606436,0.789551,0.094041,-0.000000
1780043026.217730,-0.004364,0.151250,-0.012648,0.594970,0.795410,0.115470,-0.000000
1780043026.460487,-0.005235,0.151163,-0.012736,0.583114,0.800603,0.137890,-0.000000
1780043026.703243,-0.006325,0.150934,-0.012890,0.567525,0.806079,0.167782,-0.000000
1780043026.946000,-0.007149,0.150666,-0.013027,0.555642,0.808864,0.192355,-0.000000
1780043027.188757,-0.007970,0.150391,-0.013166,0.544728,0.809555,0.218842,-0.000000
1780043027.431514,-0.008822,0.150140,-0.013312,0.533551,0.808937,0.246868,-0.000000
1780043027.674270,-0.009846,0.149846,-0.013544,0.520272,0.806194,0.281723,-0.000000
1780043027.917027,-0.010669,0.149647,-0.013745,0.510963,0.801580,0.310460,-0.000000
1780043028.159784,-0.011516,0.149532,-0.013947,0.503146,0.794225,0.340662,-0.000000
1780043028.402541,-0.012501,0.149445,-0.014190,0.494560,0.783635,0.375934,-0.000000
1780043028.645297,-0.013495,0.149306,-0.014540,0.486091,0.770222,0.412884,-0.000000
1780043028.888054,-0.014332,0.149226,-0.014873,0.480969,0.755564,0.444738,-0.000000
1780043029.130811,-0.015154,0.149134,-0.015241,0.476999,0.738397,0.476699,-0.000000
1780043029.373568,-0.016167,0.148911,-0.015750,0.472325,0.713908,0.516956,-0.000000
1780043029.616324,-0.016957,0.148684,-0.016326,0.468773,0.690354,0.551057,-0.000000
1780043029.859081,-0.017646,0.148489,-0.016913,0.469540,0.665780,0.579887,-0.000000
1780043030.101838,-0.018308,0.148286,-0.017550,0.470795,0.639448,0.607831,-0.000000
1780043030.344595,-0.019118,0.147904,-0.018387,0.473207,0.603531,0.641737,-0.000000
1780043030.587351,-0.019596,0.147585,-0.019196,0.476944,0.573304,0.666218,-0.000000
1780043030.830108,-0.020003,0.147200,-0.020024,0.482554,0.542022,0.688007,-0.000000
1780043031.072865,-0.020350,0.146706,-0.020852,0.488833,0.509603,0.708059,-0.000000
1780043031.315622,-0.020567,0.146041,-0.021703,0.496055,0.474640,0.727081,-0.000000
1780043031.558378,-0.020625,0.145277,-0.022456,0.506840,0.443961,0.738926,-0.000000
1780043031.801135,-0.020670,0.144415,-0.023120,0.518196,0.413416,0.748706,-0.000000
1780043032.043892,-0.020682,0.143523,-0.023662,0.529315,0.384818,0.756135,-0.000000
1780043032.286649,-0.020504,0.142638,-0.024086,0.541532,0.361142,0.759158,-0.000000
1780043032.529405,-0.020433,0.141619,-0.024553,0.556904,0.338366,0.758529,-0.000000
1780043032.772162,-0.020390,0.140581,-0.024974,0.572430,0.316675,0.756334,-0.000000
1780043033.014919,-0.020214,0.139709,-0.025155,0.585123,0.300096,0.753374,-0.000000
1780043033.257676,-0.020018,0.138703,-0.025320,0.602096,0.289034,0.744272,-0.000000
1780043033.500432,-0.019989,0.137558,-0.025515,0.620746,0.276847,0.733506,-0.000000
1780043033.743189,-0.020088,0.136414,-0.025629,0.638745,0.264724,0.722444,-0.000000
1780043033.985946,-0.020136,0.135610,-0.025350,0.653170,0.260366,0.711040,-0.000000
1780043034.228703,-0.020430,0.134550,-0.025293,0.672120,0.256900,0.694447,-0.000000
1780043034.471460,-0.020892,0.133519,-0.025311,0.690919,0.252783,0.677297,-0.000000
1780043034.714216,-0.021446,0.132583,-0.025373,0.708797,0.249808,0.659699,-0.000000
1780043034.956973,-0.021913,0.131995,-0.025212,0.721761,0.250523,0.645213,-0.000000
1780043035.199730,-0.022461,0.131120,-0.025384,0.739062,0.251019,0.625121,-0.000000
1780043035.442487,-0.022997,0.130280,-0.025595,0.755409,0.250986,0.605279,-0.000000
1780043035.685243,-0.023506,0.129513,-0.025788,0.771364,0.252990,0.583947,-0.000000
1780043035.928000,-0.023978,0.128871,-0.025857,0.785953,0.257123,0.562286,-0.000000
1780043036.170757,-0.024500,0.128050,-0.026112,0.803656,0.261354,0.534632,-0.000000
1780043036.413514,-0.025035,0.127267,-0.026408,0.820283,0.264470,0.507140,-0.000000
1780043036.656270,-0.025560,0.126626,-0.026675,0.834519,0.267268,0.481816,-0.000000
1780043036.899027,-0.026067,0.125995,-0.026969,0.848370,0.270394,0.455143,-0.000000
1780043037.141784,-0.026584,0.125287,-0.027389,0.863272,0.272963,0.424561,-0.000000
1780043037.384541,-0.027093,0.124607,-0.027846,0.877152,0.274541,0.393995,-0.000000
1780043037.627297,-0.027562,0.124092,-0.028220,0.887477,0.274827,0.369939,-0.000000
1780043037.870054,-0.027987,0.123442,-0.028686,0.898222,0.274410,0.343360,-0.000000
1780043038.112811,-0.028409,0.122780,-0.029208,0.908766,0.273309,0.315351,-0.000000
1780043038.355568,-0.028810,0.122162,-0.029795,0.918566,0.271538,0.287234,-0.000000
1780043038.598324,-0.029126,0.121752,-0.030382,0.925951,0.269320,0.264727,-0.000000
1780043038.841081,-0.029354,0.121222,-0.031150,0.934105,0.265786,0.238339,-0.000000
1780043039.083838,-0.029498,0.120732,-0.032012,0.941916,0.261505,0.210737,-0.000000
1780043039.326595,-0.029550,0.120285,-0.032927,0.949101,0.256561,0.182714,-0.000000
1780043039.569351,-0.029473,0.119901,-0.033777,0.954433,0.250721,0.161855,-0.000000
1780043039.812108,-0.029323,0.119380,-0.034657,0.959482,0.243488,0.141802,-0.000000
1780043040.054865,-0.029140,0.118840,-0.035497,0.964050,0.236129,0.121866,-0.000000
1780043040.297622,-0.028953,0.118288,-0.036267,0.968014,0.228905,0.102716,-0.000000
1780043040.540379,-0.028775,0.117672,-0.036910,0.971207,0.221238,0.088375,-0.000000
1780043040.783135,-0.028649,0.116989,-0.037494,0.974153,0.213429,0.073990,-0.000000
1780043041.025892,-0.028596,0.116282,-0.038024,0.976784,0.205705,0.059819,-0.000000
1780043041.268649,-0.028631,0.115568,-0.038511,0.979118,0.198045,0.045898,-0.000000
1780043041.511405,-0.028722,0.114817,-0.038947,0.981237,0.189739,0.034259,-0.000000
1780043041.754162,-0.028804,0.114072,-0.039414,0.983181,0.181192,0.022924,-0.000000
1780043041.996919,-0.028865,0.113340,-0.039913,0.984939,0.172512,0.011587,-0.000000
1780043042.239676,-0.028901,0.112581,-0.040430,0.986551,0.163451,-0.000067,0.000000
1780043042.482433,-0.028913,0.111827,-0.040927,0.988005,0.154126,-0.009582,0.000000
1780043042.725189,-0.028898,0.111087,-0.041457,0.989319,0.144569,-0.018650,0.000000
1780043042.967946,-0.028847,0.110357,-0.042023,0.990479,0.134815,-0.027876,0.000000
1780043043.210703,-0.028754,0.109503,-0.042612,0.991572,0.123769,-0.038292,0.000000
1780043043.453460,-0.028609,0.108742,-0.043170,0.992588,0.113314,-0.043920,0.000000
1780043043.696216,-0.028392,0.107988,-0.043747,0.993495,0.102599,-0.049406,0.000000
1780043043.938973,-0.028091,0.107196,-0.044338,0.994298,0.091219,-0.055239,0.000000
1780043044.181730,-0.027725,0.106212,-0.044890,0.994937,0.080528,-0.060128,0.000000
1780043044.424487,-0.027284,0.105411,-0.045380,0.995289,0.074760,-0.061739,0.000000
1780043044.667243,-0.026760,0.104608,-0.045847,0.995607,0.068824,-0.063480,0.000000
1780043044.910000,-0.026155,0.103803,-0.046284,0.995887,0.062706,-0.065395,0.000000
