timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1780041000.000000,0.040036,0.103238,0.029777,0.134500,0.842130,0.522232,-0.000000
1780041000.306686,0.039921,0.104141,0.029634,0.143505,0.851160,0.504909,-0.000000
1780041000.613371,0.039780,0.104786,0.029553,0.150080,0.856387,0.494041,-0.000000
1780041000.920057,0.039631,0.105417,0.029456,0.156585,0.860828,0.484207,-0.000000
1780041001.226743,0.039487,0.106021,0.029293,0.162985,0.864596,0.475299,-0.000000
1780041001.533429,0.039352,0.106602,0.029056,0.169379,0.867850,0.467062,-0.000000
1780041001.840114,0.039218,0.107177,0.028795,0.178086,0.884545,0.431122,-0.000000
1780041002.146800,0.039091,0.107745,0.028513,0.187726,0.901156,0.390739,-0.000000
1780041002.453486,0.038984,0.108267,0.028120,0.197897,0.914565,0.352715,-0.000000
1780041002.760171,0.038890,0.108789,0.027702,0.208527,0.925165,0.317153,-0.000000
1780041003.066857,0.038811,0.109320,0.027264,0.219643,0.933397,0.283773,-0.000000
1780041003.373543,0.038753,0.109833,0.026765,0.230706,0.940645,0.248922,-0.000000
1780041003.680228,0.038720,0.110351,0.026214,0.241381,0.947760,0.208534,-0.000000
1780041003.986914,0.038714,0.110900,0.025649,0.252821,0.952526,0.169636,-0.000000
1780041004.293600,0.038739,0.111475,0.025065,0.265023,0.955118,0.132331,-0.000000
1780041004.600286,0.038799,0.112037,0.024412,0.278109,0.955705,0.096347,-0.000000
1780041004.906971,0.038903,0.112630,0.023745,0.290437,0.955296,0.055273,-0.000000
1780041005.213657,0.039043,0.113257,0.023062,0.303273,0.952804,0.013806,-0.000000
1780041005.520343,0.039210,0.113872,0.022320,0.317011,0.948065,-0.025997,0.000000
1780041005.827029,0.039404,0.114490,0.021539,0.331563,0.941273,-0.063805,0.000000
1780041006.133714,0.039609,0.115112,0.020733,0.344905,0.931911,-0.112175,0.000000
1780041006.440400,0.039800,0.115729,0.019884,0.359131,0.919780,-0.158208,0.000000
1780041006.747086,0.039948,0.116327,0.018992,0.374073,0.905346,-0.201039,0.000000
1780041007.053771,0.040047,0.116909,0.018134,0.388078,0.888640,-0.244367,0.000000
1780041007.360457,0.040092,0.117537,0.017265,0.402393,0.868110,-0.290629,0.000000
1780041007.667143,0.040060,0.118160,0.016408,0.417101,0.845920,-0.332334,0.000000
1780041007.973829,0.039991,0.118800,0.015619,0.431679,0.822918,-0.369404,0.000000
1780041008.280514,0.039878,0.119438,0.014916,0.446577,0.788898,-0.422147,0.000000
1780041008.587200,0.039737,0.120107,0.014226,0.462671,0.751628,-0.470097,0.000000
1780041008.893886,0.039592,0.120776,0.013604,0.478699,0.714457,-0.510294,0.000000
1780041009.200572,0.039464,0.121412,0.013048,0.494110,0.678437,-0.543671,0.000000
1780041009.507257,0.039325,0.121986,0.012551,0.509984,0.635682,-0.579504,0.000000
1780041009.813943,0.039165,0.122520,0.012049,0.526024,0.593003,-0.609628,0.000000
1780041010.120629,0.039008,0.122985,0.011573,0.541052,0.553650,-0.633036,0.000000
1780041010.427314,0.038848,0.123376,0.011117,0.554869,0.518012,-0.650987,0.000000
1780041010.734000,0.038625,0.123689,0.010686,0.567802,0.485242,-0.664937,0.000000
1780041011.040686,0.038387,0.123917,0.010279,0.580533,0.452209,-0.677118,0.000000
1780041011.347371,0.038140,0.124087,0.009871,0.593491,0.418018,-0.687772,0.000000
1780041011.654057,0.037842,0.124203,0.009475,0.606668,0.383713,-0.696217,0.000000
1780041011.960743,0.037512,0.124264,0.009084,0.620063,0.349300,-0.702504,0.000000
1780041012.267429,0.037177,0.124280,0.008686,0.633591,0.314982,-0.706646,0.000000
1780041012.574114,0.036818,0.124265,0.008284,0.647457,0.280232,-0.708709,0.000000
1780041012.880800,0.036405,0.124235,0.007890,0.661928,0.244564,-0.708548,0.000000
