timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1780044000.000000,0.040036,0.103238,0.029777,0.134500,0.842130,0.522232,-0.000000
1780044000.408364,0.039955,0.104085,0.029554,0.140892,0.859216,0.491830,-0.000000
1780044000.816727,0.039877,0.104932,0.029348,0.147640,0.872248,0.466246,-0.000000
1780044001.225091,0.039787,0.105775,0.029166,0.154468,0.883031,0.443166,-0.000000
1780044001.633455,0.039699,0.106598,0.028938,0.161341,0.891959,0.422349,-0.000000
1780044002.041818,0.039616,0.107405,0.028660,0.170023,0.907777,0.383449,-0.000000
1780044002.450182,0.039527,0.108231,0.028394,0.181689,0.928838,0.322875,-0.000000
1780044002.858546,0.039436,0.109070,0.028124,0.194181,0.943680,0.267884,-0.000000
1780044003.266909,0.039361,0.109879,0.027745,0.207319,0.953566,0.218474,-0.000000
1780044003.675273,0.039288,0.110713,0.027356,0.221231,0.959662,0.173510,-0.000000
1780044004.083636,0.039217,0.111578,0.026959,0.234032,0.964837,0.119658,-0.000000
1780044004.492000,0.039159,0.112430,0.026481,0.247668,0.966322,0.069868,-0.000000
1780044004.900364,0.039114,0.113294,0.025954,0.262235,0.964709,0.023854,-0.000000
1780044005.308727,0.039086,0.114187,0.025398,0.277709,0.960482,-0.018781,0.000000
1780044005.717091,0.039095,0.115083,0.024800,0.292028,0.954016,-0.067625,0.000000
1780044006.125455,0.039156,0.115947,0.024122,0.307092,0.945022,-0.112372,0.000000
1780044006.533818,0.039268,0.116820,0.023416,0.322935,0.933904,-0.153414,0.000000
1780044006.942182,0.039448,0.117691,0.022681,0.338768,0.920018,-0.196984,0.000000
1780044007.350545,0.039692,0.118484,0.021856,0.354291,0.902716,-0.244092,0.000000
1780044007.758909,0.040021,0.119250,0.020999,0.370679,0.883258,-0.287145,0.000000
1780044008.167273,0.040436,0.119977,0.020109,0.387749,0.861677,-0.327358,0.000000
1780044008.575636,0.040903,0.120609,0.019141,0.404452,0.834511,-0.374179,0.000000
1780044008.984000,0.041414,0.121172,0.018119,0.422104,0.805215,-0.416483,0.000000
1780044009.392364,0.041934,0.121660,0.017065,0.440274,0.775026,-0.453313,0.000000
1780044009.800727,0.042394,0.122046,0.015939,0.460587,0.727532,-0.508486,0.000000
1780044010.209091,0.042738,0.122367,0.014788,0.481420,0.678594,-0.554748,0.000000
1780044010.617455,0.042975,0.122632,0.013662,0.501887,0.631510,-0.591020,0.000000
1780044011.025818,0.043056,0.122827,0.012552,0.523814,0.575767,-0.627783,0.000000
1780044011.434182,0.042991,0.122985,0.011483,0.546126,0.517563,-0.658693,0.000000
1780044011.842546,0.042831,0.123137,0.010496,0.567408,0.463527,-0.680581,0.000000
1780044012.250909,0.042575,0.123262,0.009620,0.586900,0.415593,-0.694860,0.000000
1780044012.659273,0.042188,0.123358,0.008835,0.607474,0.363185,-0.706450,0.000000
1780044013.067636,0.041770,0.123466,0.008132,0.627207,0.312876,-0.713247,0.000000
1780044013.476000,0.041330,0.123570,0.007518,0.645455,0.267250,-0.715518,0.000000
1780044013.884364,0.040810,0.123666,0.006996,0.662991,0.224133,-0.714288,0.000000
1780044014.292727,0.040297,0.123741,0.006564,0.678615,0.186566,-0.710405,0.000000
1780044014.701091,0.039811,0.123800,0.006201,0.692245,0.155523,-0.704705,0.000000
1780044015.109455,0.039273,0.123889,0.005891,0.705850,0.124666,-0.697305,0.000000
1780044015.517818,0.038783,0.123968,0.005607,0.718097,0.097024,-0.689147,0.000000
1780044015.926182,0.038350,0.124032,0.005330,0.729017,0.072525,-0.680642,0.000000
1780044016.334545,0.037888,0.124093,0.005090,0.739854,0.048331,-0.671029,0.000000
1780044016.742909,0.037474,0.124130,0.004814,0.749927,0.025930,-0.661012,0.000000
1780044017.151273,0.037104,0.124158,0.004478,0.759750,0.004262,-0.650201,0.000000
1780044017.559636,0.036694,0.124192,0.004146,0.769284,-0.014671,-0.638739,0.000000
1780044017.968000,0.036299,0.124227,0.003755,0.777694,-0.028558,-0.627994,0.000000
1780044018.376364,0.035925,0.124272,0.003291,0.786500,-0.043289,-0.616072,0.000000
1780044018.784727,0.035494,0.124402,0.002730,0.796869,-0.060602,-0.601104,0.000000
1780044019.193091,0.035061,0.124532,0.002189,0.806717,-0.077023,-0.585897,0.000000
1780044019.601454,0.034644,0.124707,0.001576,0.816997,-0.094164,-0.568902,0.000000
1780044020.009818,0.034169,0.124934,0.000964,0.827384,-0.108143,-0.551127,0.000000
1780044020.418182,0.033672,0.125259,0.000245,0.838123,-0.120119,-0.532092,0.000000
1780044020.826545,0.033184,0.125693,-0.000555,0.849568,-0.132875,-0.510468,0.000000
