timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1780043000.000000,0.040036,0.103238,0.029777,0.134500,0.842130,0.522232,-0.000000
1780043000.242757,0.040009,0.104060,0.029614,0.142338,0.856667,0.495844,-0.000000
1780043000.485513,0.039979,0.104875,0.029454,0.151169,0.863395,0.481349,-0.000000
1780043000.728270,0.039946,0.105685,0.029294,0.159965,0.868957,0.468321,-0.000000
1780043000.971027,0.039916,0.106477,0.029105,0.168647,0.873532,0.456618,-0.000000
1780043001.213784,0.039905,0.107236,0.028826,0.180855,0.896809,0.403763,-0.000000
1780043001.456541,0.039897,0.107989,0.028548,0.193998,0.915835,0.351584,-0.000000
1780043001.699297,0.039896,0.108735,0.028266,0.207488,0.929395,0.305244,-0.000000
1780043001.942054,0.039909,0.109449,0.027923,0.221216,0.938798,0.264049,-0.000000
1780043002.184811,0.039939,0.110136,0.027523,0.233903,0.947121,0.219662,-0.000000
1780043002.427567,0.039976,0.110818,0.027122,0.246156,0.953275,0.175138,-0.000000
1780043002.670324,0.040022,0.111499,0.026714,0.258816,0.956553,0.134240,-0.000000
1780043002.913081,0.040080,0.112129,0.026224,0.271861,0.957477,0.096590,-0.000000
1780043003.155838,0.040147,0.112753,0.025710,0.284608,0.956845,0.058699,-0.000000
1780043003.398595,0.040220,0.113380,0.025193,0.296573,0.954836,0.018266,-0.000000
1780043003.641351,0.040298,0.114001,0.024656,0.309002,0.950861,-0.019505,0.000000
1780043003.884108,0.040377,0.114580,0.024051,0.321950,0.945160,-0.054968,0.000000
1780043004.126865,0.040458,0.115166,0.023444,0.334794,0.937893,-0.090939,0.000000
1780043004.369622,0.040538,0.115764,0.022831,0.346901,0.928391,-0.133230,0.000000
1780043004.612378,0.040612,0.116344,0.022183,0.359614,0.916938,-0.172923,0.000000
1780043004.855135,0.040677,0.116906,0.021504,0.372835,0.903850,-0.209877,0.000000
1780043005.097892,0.040741,0.117478,0.020826,0.385999,0.888643,-0.247624,0.000000
1780043005.340649,0.040807,0.118060,0.020145,0.398874,0.870256,-0.289056,0.000000
1780043005.583405,0.040854,0.118609,0.019425,0.412329,0.850193,-0.327347,0.000000
1780043005.826162,0.040901,0.119156,0.018700,0.426180,0.828938,-0.362259,0.000000
1780043006.068919,0.040952,0.119705,0.017978,0.440888,0.799835,-0.407285,0.000000
1780043006.311676,0.041002,0.120250,0.017247,0.456742,0.763523,-0.456530,0.000000
1780043006.554432,0.041030,0.120761,0.016494,0.473353,0.725397,-0.499736,0.000000
1780043006.797189,0.041061,0.121270,0.015742,0.490468,0.686424,-0.536901,0.000000
1780043007.039946,0.041094,0.121772,0.014991,0.509794,0.635913,-0.579418,0.000000
1780043007.282703,0.041102,0.122251,0.014229,0.530237,0.582142,-0.616408,0.000000
1780043007.525460,0.041085,0.122711,0.013463,0.551101,0.528464,-0.645765,0.000000
1780043007.768216,0.041059,0.123163,0.012706,0.571980,0.476006,-0.668025,0.000000
1780043008.010973,0.041024,0.123613,0.011958,0.595455,0.414546,-0.688175,0.000000
1780043008.253730,0.040934,0.124052,0.011218,0.619081,0.354015,-0.701008,0.000000
1780043008.496486,0.040836,0.124491,0.010494,0.642233,0.296009,-0.707047,0.000000
1780043008.739243,0.040745,0.124931,0.009794,0.664235,0.242428,-0.707121,0.000000
1780043008.982000,0.040656,0.125376,0.009108,0.685131,0.194845,-0.701877,0.000000
1780043009.224757,0.040535,0.125816,0.008438,0.705447,0.149011,-0.692921,0.000000
1780043009.467514,0.040442,0.126247,0.007776,0.724836,0.105706,-0.680763,0.000000
1780043009.710270,0.040363,0.126657,0.007110,0.743188,0.065136,-0.665904,0.000000
1780043009.953027,0.040263,0.127053,0.006449,0.757852,0.039596,-0.651224,0.000000
1780043010.195784,0.040145,0.127431,0.005792,0.771356,0.017604,-0.636160,0.000000
