timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1779953182.005297,-0.481406,0.122033,0.417697,-0.002478,-0.383459,0.923551,-0.002641
1779953182.214975,-0.481406,0.122033,0.417697,-0.002478,-0.383459,0.923551,-0.002641
1779953182.424970,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779953182.634972,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779953182.844971,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779953183.054976,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779953183.264972,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779953183.474997,-0.481404,0.122035,0.417700,-0.002480,-0.383456,0.923552,-0.002638
1779953183.684969,-0.481404,0.122035,0.417700,-0.002480,-0.383456,0.923552,-0.002638
1779953183.890973,-0.481404,0.122035,0.417700,-0.002480,-0.383456,0.923552,-0.002638
1779953184.090988,-0.481404,0.122035,0.417700,-0.002480,-0.383456,0.923552,-0.002638
1779953184.290969,-0.481337,0.122015,0.417751,-0.002519,-0.383502,0.923533,-0.002612
1779953184.490973,-0.480504,0.122024,0.417998,-0.002679,-0.383566,0.923506,-0.002419
1779953184.690972,-0.479350,0.121781,0.417925,-0.002655,-0.383792,0.923413,-0.002454
1779953184.890969,-0.478633,0.121920,0.417821,-0.002595,-0.383721,0.923442,-0.002528
1779953185.090975,-0.478577,0.122020,0.417721,-0.002567,-0.383623,0.923483,-0.002570
1779953185.290974,-0.478501,0.121987,0.416897,-0.002556,-0.383617,0.923485,-0.002584
1779953185.490974,-0.478471,0.121969,0.415898,-0.002726,-0.383622,0.923483,-0.002374
1779953185.690976,-0.478420,0.121939,0.414640,-0.002796,-0.383627,0.923481,-0.002287
1779953185.890973,-0.478142,0.122137,0.412906,-0.002675,-0.383665,0.923465,-0.002440
1779953186.090971,-0.477612,0.122856,0.410841,-0.002567,-0.383703,0.923449,-0.002577
