timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1779953941.694448,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953941.909287,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953942.111383,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953942.303209,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953942.496282,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953942.705608,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953942.913596,-0.481400,0.122033,0.417703,-0.002482,-0.383456,0.923552,-0.002636
1779953943.097981,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953943.308355,-0.481401,0.122034,0.417706,-0.002484,-0.383456,0.923552,-0.002633
1779953943.509260,-0.481400,0.122033,0.417703,-0.002482,-0.383456,0.923552,-0.002636
1779953943.705536,-0.481400,0.122033,0.417703,-0.002482,-0.383456,0.923552,-0.002636
1779953943.905602,-0.481401,0.122029,0.417709,-0.002490,-0.383459,0.923551,-0.002634
1779953944.098253,-0.481400,0.122043,0.417716,-0.002493,-0.383447,0.923556,-0.002622
1779953944.314197,-0.481395,0.122045,0.417719,-0.002491,-0.383440,0.923559,-0.002617
1779953944.494509,-0.480893,0.121774,0.415909,-0.001299,-0.383429,0.923560,-0.004081
1779953944.693615,-0.479882,0.121665,0.412727,0.001628,-0.383298,0.923606,-0.005619
1779953944.911327,-0.477466,0.126166,0.412765,-0.018947,0.383190,-0.923438,-0.008290
1779953945.106986,-0.477086,0.127618,0.412309,-0.023163,0.382873,-0.923445,-0.011003
1779953945.298491,-0.479471,0.128873,0.407441,0.026236,-0.382991,0.923353,0.006989
1779953945.512162,-0.482167,0.130260,0.401748,0.029859,-0.383153,0.923199,0.002352
1779953945.706813,-0.483175,0.130609,0.399729,0.031139,-0.383349,0.923078,0.000716
1779953945.905968,-0.484094,0.127153,0.399737,0.031137,-0.386642,0.921704,0.000818
1779953946.113081,-0.484460,0.125742,0.399727,0.031145,-0.387984,0.921139,0.000853
1779953946.306075,-0.485398,0.122117,0.399768,0.031112,-0.391427,0.919682,0.000998
1779953946.507681,-0.485468,0.121971,0.399691,0.031168,-0.391583,0.919614,0.000942
1779953946.711867,-0.485536,0.122483,0.399316,0.031416,-0.391182,0.919777,0.000633
1779953946.908430,-0.485526,0.122512,0.399274,0.031455,-0.391146,0.919791,0.000585
1779953947.111861,-0.485497,0.122573,0.399221,0.031500,-0.391075,0.919820,0.000536
1779953947.308860,-0.484441,0.126582,0.399082,0.031584,-0.387255,0.921431,0.000297
1779953947.510331,-0.484062,0.128104,0.398384,0.032123,-0.385829,0.922011,-0.000418
1779953947.710901,-0.485457,0.128904,0.395263,0.034164,-0.385836,0.921930,-0.002948
1779953947.910918,-0.483202,0.127684,0.393099,0.041037,-0.385948,0.921536,-0.011434
1779953948.112209,-0.481433,0.129437,0.392422,0.043949,-0.383717,0.922280,-0.015168
1779953948.305365,-0.480340,0.133430,0.392416,0.043886,-0.379884,0.923865,-0.015352
1779953948.500262,-0.479268,0.137240,0.392394,0.043842,-0.376215,0.925364,-0.015547
1779953948.696449,-0.478033,0.141470,0.392381,0.043783,-0.372121,0.927017,-0.015754
1779953948.901248,-0.476652,0.146023,0.392366,0.043721,-0.367691,0.928782,-0.015980
1779953949.098925,-0.476054,0.147982,0.392324,0.043712,-0.365784,0.929533,-0.016101
1779953949.314209,-0.476051,0.147980,0.392306,0.043723,-0.365784,0.929533,-0.016115
1779953949.495745,-0.476051,0.147984,0.392303,0.043725,-0.365781,0.929534,-0.016118
1779953949.714804,-0.476051,0.147984,0.392303,0.043725,-0.365781,0.929534,-0.016118
1779953949.904140,-0.476052,0.147985,0.392300,0.043727,-0.365781,0.929533,-0.016120
1779953950.113262,-0.476055,0.147982,0.392259,0.043751,-0.365784,0.929530,-0.016152
1779953950.294415,-0.476062,0.147976,0.392223,0.043774,-0.365793,0.929525,-0.016181
1779953950.494655,-0.475883,0.148547,0.392229,0.043761,-0.365235,0.929745,-0.016203
1779953950.696587,-0.474500,0.152897,0.392212,0.043699,-0.360970,0.931408,-0.016419
1779953950.895940,-0.474362,0.153318,0.392165,0.043723,-0.360556,0.931566,-0.016479
1779953951.095048,-0.475018,0.153326,0.390774,0.044590,-0.360894,0.931374,-0.017610
1779953951.299130,-0.479101,0.151123,0.384325,0.048685,-0.364768,0.929549,-0.022658
1779953951.503541,-0.483525,0.145506,0.378869,0.052263,-0.371509,0.926573,-0.026675
1779953951.703397,-0.486385,0.141920,0.375268,0.054584,-0.375783,0.924637,-0.029227
1779953951.902771,-0.489350,0.138210,0.372405,0.055699,-0.380172,0.922743,-0.030193
1779953952.103290,-0.494904,0.139995,0.371769,0.047431,-0.381203,0.923062,-0.019777
1779953952.298323,-0.495812,0.140472,0.369726,0.048490,-0.381233,0.922965,-0.021113
1779953952.507943,-0.497039,0.135972,0.369674,0.048633,-0.385400,0.921229,-0.020953
1779953952.711539,-0.498130,0.131901,0.369677,0.048720,-0.389165,0.919645,-0.020748
1779953952.912045,-0.498323,0.131038,0.369576,0.048807,-0.389942,0.919310,-0.020791
1779953953.113700,-0.496814,0.130242,0.365461,0.051406,-0.389957,0.919084,-0.023980
1779953953.299218,-0.495488,0.129548,0.361875,0.053619,-0.389961,0.918882,-0.026687
1779953953.508548,-0.495421,0.129912,0.361890,0.053575,-0.389635,0.919023,-0.026663
1779953953.715073,-0.495900,0.130231,0.360603,0.054382,-0.389585,0.918967,-0.027663
1779953953.895464,-0.497878,0.131284,0.355381,0.057655,-0.389584,0.918638,-0.031686
1779953954.107732,-0.499074,0.131920,0.352160,0.059647,-0.389578,0.918426,-0.034140
1779953954.301968,-0.501620,0.133254,0.350139,0.057575,-0.389605,0.918637,-0.031608
1779953954.502811,-0.500580,0.132699,0.345554,0.059200,-0.389609,0.918461,-0.033608
