timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1779954724.625029,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954724.846653,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954725.053876,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954725.275133,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954725.485207,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954725.694321,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954725.902440,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954726.110884,-0.481405,0.122036,0.417697,-0.002478,-0.383456,0.923552,-0.002641
1779954726.312579,-0.481415,0.122080,0.417679,-0.002569,-0.383499,0.923534,-0.002543
1779954726.510887,-0.481077,0.122602,0.416774,-0.002535,-0.383768,0.923422,-0.002587
1779954726.704275,-0.480390,0.123330,0.415482,-0.002476,-0.383600,0.923492,-0.002670
1779954726.896807,-0.479417,0.124483,0.414151,-0.002390,-0.383522,0.923525,-0.002780
1779954727.113916,-0.478428,0.125547,0.412782,-0.002388,-0.383625,0.923482,-0.002785
1779954727.303813,-0.477753,0.126134,0.412400,-0.002431,-0.383598,0.923493,-0.002732
1779954727.508056,-0.476116,0.127664,0.410829,-0.002389,-0.383689,0.923455,-0.002788
1779954727.710490,-0.474479,0.129338,0.409107,-0.002484,-0.383540,0.923517,-0.002669
1779954727.901508,-0.472994,0.130752,0.407039,-0.002494,-0.383542,0.923516,-0.002660
1779954728.115851,-0.472229,0.131565,0.404887,-0.002454,-0.383595,0.923494,-0.002715
1779954728.300862,-0.471708,0.132105,0.403492,-0.002484,-0.383663,0.923466,-0.002678
1779954728.509037,-0.470590,0.133251,0.402215,-0.002469,-0.383529,0.923521,-0.002701
1779954728.703844,-0.469821,0.134032,0.401455,-0.002419,-0.383629,0.923480,-0.002769
1779954728.910617,-0.468633,0.135255,0.400286,-0.002441,-0.383479,0.923542,-0.002743
1779954729.105009,-0.467776,0.135999,0.398893,-0.002424,-0.383573,0.923503,-0.002761
1779954729.303846,-0.467106,0.136654,0.397666,-0.002457,-0.383659,0.923467,-0.002719
1779954729.512300,-0.466255,0.137588,0.397113,-0.002537,-0.383470,0.923546,-0.002613
1779954729.708206,-0.465386,0.138421,0.396987,-0.002586,-0.383622,0.923483,-0.002547
1779954729.898639,-0.464252,0.139752,0.396756,-0.002494,-0.383484,0.923540,-0.002675
1779954730.103748,-0.462569,0.141331,0.396958,-0.002648,-0.383562,0.923508,-0.002462
1779954730.305885,-0.460496,0.143494,0.396871,-0.002577,-0.383621,0.923484,-0.002562
1779954730.508428,-0.457550,0.146363,0.396763,-0.002561,-0.383580,0.923501,-0.002588
1779954730.710237,-0.455479,0.148381,0.396868,-0.002639,-0.383574,0.923503,-0.002477
1779954730.918619,-0.452652,0.151271,0.396737,-0.002561,-0.383610,0.923488,-0.002595
1779954731.107753,-0.449972,0.153919,0.396820,-0.002666,-0.383564,0.923507,-0.002440
1779954731.307997,-0.448054,0.155910,0.396690,-0.002574,-0.383650,0.923471,-0.002583
1779954731.501001,-0.447292,0.156558,0.396802,-0.002627,-0.383640,0.923476,-0.002502
1779954731.697791,-0.446445,0.157359,0.396769,-0.002618,-0.383612,0.923487,-0.002518
1779954731.911622,-0.445734,0.158177,0.396735,-0.002611,-0.383477,0.923543,-0.002530
1779954732.098821,-0.445671,0.158289,0.396711,-0.002593,-0.383477,0.923543,-0.002557
1779954732.298072,-0.446141,0.157594,0.396221,-0.002878,-0.383251,0.923637,-0.002116
1779954732.508734,-0.448457,0.155205,0.394441,-0.002926,-0.383253,0.923637,-0.002050
1779954732.705679,-0.450620,0.153017,0.393047,-0.002927,-0.383237,0.923643,-0.002054
1779954732.908957,-0.452787,0.150827,0.391308,-0.002914,-0.383343,0.923599,-0.002071
1779954733.102974,-0.453635,0.149990,0.390252,-0.002960,-0.383322,0.923608,-0.002008
1779954733.310966,-0.454937,0.148700,0.388128,-0.003009,-0.383306,0.923615,-0.001943
1779954733.510456,-0.455985,0.147638,0.386121,-0.002918,-0.383308,0.923614,-0.002082
1779954733.699264,-0.457453,0.146160,0.384502,-0.003000,-0.383269,0.923630,-0.001970
1779954733.916179,-0.459014,0.144591,0.382604,-0.003020,-0.383306,0.923614,-0.001942
1779954734.094848,-0.460085,0.143369,0.380975,-0.002920,-0.383325,0.923606,-0.002090
1779954734.297916,-0.461366,0.142158,0.379580,-0.002987,-0.383372,0.923587,-0.002001
1779954734.504444,-0.462702,0.140951,0.378059,-0.003039,-0.383210,0.923654,-0.001936
1779954734.711079,-0.463991,0.139553,0.376427,-0.002987,-0.383399,0.923576,-0.002007
1779954734.899835,-0.464828,0.138576,0.375052,-0.002954,-0.383354,0.923594,-0.002058
1779954735.097408,-0.465836,0.137574,0.372933,-0.003105,-0.383398,0.923576,-0.001859
1779954735.298226,-0.466572,0.136909,0.370452,-0.003042,-0.383275,0.923627,-0.001953
1779954735.512314,-0.467041,0.136393,0.367727,-0.003008,-0.383352,0.923595,-0.001999
1779954735.706488,-0.467074,0.136301,0.365060,-0.003073,-0.383382,0.923583,-0.001917
1779954735.912398,-0.467137,0.136316,0.361224,-0.003035,-0.383368,0.923588,-0.001979
1779954736.099888,-0.467048,0.136242,0.357534,-0.003055,-0.383355,0.923594,-0.001952
1779954736.307118,-0.467104,0.136256,0.353499,-0.003061,-0.383322,0.923608,-0.001954
1779954736.505880,-0.467134,0.136249,0.350798,-0.003014,-0.383314,0.923611,-0.002017
1779954736.707614,-0.467127,0.136225,0.349259,-0.003096,-0.383303,0.923615,-0.001910
1779954736.901213,-0.467165,0.136222,0.348027,-0.003172,-0.383306,0.923614,-0.001812
1779954737.100719,-0.467172,0.136197,0.346996,-0.003214,-0.383324,0.923607,-0.001758
1779954737.313931,-0.467208,0.136150,0.344919,-0.003015,-0.383363,0.923591,-0.002025
1779954737.496564,-0.467285,0.136120,0.344100,-0.002984,-0.383420,0.923567,-0.002068
1779954737.715175,-0.467292,0.136065,0.343322,-0.003109,-0.383459,0.923551,-0.001902
1779954737.899551,-0.467299,0.136044,0.343062,-0.003169,-0.383472,0.923545,-0.001822
1779954738.099645,-0.467078,0.136193,0.343090,-0.002642,-0.383607,0.923489,-0.002532
1779954738.298386,-0.466014,0.137395,0.344654,-0.002310,-0.383460,0.923550,-0.002978
1779954738.512068,-0.464695,0.138488,0.346721,-0.002278,-0.383649,0.923471,-0.003019
1779954738.695076,-0.463417,0.139720,0.348648,-0.002319,-0.383684,0.923457,-0.002962
1779954738.914057,-0.460211,0.142977,0.353069,-0.002296,-0.383630,0.923479,-0.002991
1779954739.102019,-0.458147,0.145060,0.355990,-0.002301,-0.383641,0.923475,-0.002984
1779954739.309136,-0.455536,0.147786,0.359243,-0.002350,-0.383601,0.923491,-0.002914
1779954739.509981,-0.453018,0.150220,0.361756,-0.002303,-0.383587,0.923497,-0.002985
