timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1779950286.358502,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950286.547965,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950286.737964,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950286.927966,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950287.117967,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950287.307967,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950287.497984,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950287.695086,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950287.895112,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950288.095061,-0.481435,0.121888,0.374086,-0.002687,-0.383337,0.923601,-0.002393
1779950288.295173,-0.481434,0.121887,0.374085,-0.002684,-0.383337,0.923601,-0.002396
1779950288.495120,-0.481434,0.121887,0.374085,-0.002684,-0.383337,0.923601,-0.002396
1779950288.695194,-0.481436,0.121882,0.374083,-0.002704,-0.383337,0.923601,-0.002410
1779950288.895818,-0.481437,0.121880,0.374083,-0.002712,-0.383337,0.923601,-0.002416
1779950289.095014,-0.481437,0.121880,0.374083,-0.002712,-0.383337,0.923601,-0.002416
1779950289.295150,-0.481436,0.121879,0.374063,-0.002715,-0.383337,0.923601,-0.002420
1779950289.495164,-0.481474,0.121898,0.373760,-0.002971,-0.383341,0.923600,-0.002104
1779950289.696464,-0.481384,0.121882,0.372868,-0.002981,-0.383436,0.923560,-0.002093
1779950289.895071,-0.481112,0.122186,0.372149,-0.002856,-0.383610,0.923488,-0.002249
1779950290.096391,-0.480748,0.122500,0.371487,-0.002744,-0.383809,0.923405,-0.002389
1779950290.295140,-0.480246,0.123215,0.370465,-0.002652,-0.383630,0.923480,-0.002505
1779950290.496288,-0.479707,0.123847,0.369212,-0.002574,-0.383543,0.923516,-0.002604
1779950290.695121,-0.479513,0.124130,0.368546,-0.002681,-0.383431,0.923562,-0.002472
1779950290.895170,-0.479394,0.124087,0.367789,-0.002759,-0.383419,0.923567,-0.002375
1779950291.096280,-0.479385,0.124084,0.367221,-0.002910,-0.383419,0.923567,-0.002188
1779950291.295019,-0.479325,0.124053,0.366315,-0.003028,-0.383421,0.923567,-0.002041
1779950291.495077,-0.479347,0.124064,0.365136,-0.003048,-0.383425,0.923565,-0.002019
1779950291.695197,-0.479211,0.123986,0.363308,-0.003003,-0.383430,0.923563,-0.002079
1779950291.895005,-0.479296,0.124031,0.361572,-0.002944,-0.383431,0.923562,-0.002157
1779950292.095167,-0.479027,0.124122,0.360130,-0.002911,-0.383536,0.923519,-0.002201
1779950292.294976,-0.478394,0.124762,0.358243,-0.002925,-0.383631,0.923479,-0.002186
1779950292.494947,-0.477776,0.125270,0.356289,-0.002928,-0.383695,0.923453,-0.002185
1779950292.696268,-0.477337,0.125789,0.354939,-0.002903,-0.383649,0.923472,-0.002219
1779950292.895123,-0.476973,0.126296,0.354080,-0.002908,-0.383629,0.923480,-0.002215
1779950293.095095,-0.476454,0.126738,0.352848,-0.002751,-0.383701,0.923450,-0.002416
1779950293.295032,-0.475793,0.127608,0.351917,-0.002606,-0.383720,0.923442,-0.002605
1779950293.495087,-0.474845,0.128642,0.350949,-0.002611,-0.383538,0.923518,-0.002600
1779950293.694961,-0.474518,0.128945,0.350178,-0.002755,-0.383724,0.923441,-0.002416
1779950293.894973,-0.474050,0.129265,0.348933,-0.002681,-0.383745,0.923432,-0.002515
1779950294.094947,-0.473467,0.129872,0.347856,-0.002701,-0.383728,0.923439,-0.002491
1779950294.295076,-0.472711,0.130652,0.346718,-0.002671,-0.383566,0.923506,-0.002533
1779950294.496312,-0.472165,0.131155,0.345415,-0.002695,-0.383756,0.923427,-0.002505
1779950294.695067,-0.471804,0.131436,0.344374,-0.002742,-0.383763,0.923424,-0.002439
1779950294.895153,-0.470989,0.132470,0.342924,-0.002658,-0.383565,0.923507,-0.002552
1779950295.095027,-0.469307,0.134161,0.342688,-0.002637,-0.383614,0.923486,-0.002581
1779950295.295153,-0.467972,0.135462,0.342670,-0.002713,-0.383629,0.923480,-0.002479
1779950295.495069,-0.467218,0.136053,0.341087,-0.002699,-0.383745,0.923432,-0.002501
1779950295.694967,-0.467016,0.136048,0.339616,-0.002979,-0.383720,0.923442,-0.002128
1779950295.894973,-0.466427,0.136692,0.338342,-0.002898,-0.383553,0.923512,-0.002240
