timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1779950496.796319,-0.481443,0.121898,0.374120,-0.002691,-0.383333,0.923603,-0.002358
1779950497.005971,-0.481443,0.121898,0.374120,-0.002691,-0.383333,0.923603,-0.002358
1779950497.215970,-0.481443,0.121898,0.374120,-0.002691,-0.383328,0.923605,-0.002358
1779950497.425972,-0.481443,0.121898,0.374120,-0.002691,-0.383328,0.923605,-0.002358
1779950497.635970,-0.481443,0.121898,0.374120,-0.002691,-0.383328,0.923605,-0.002358
1779950497.845972,-0.481443,0.121898,0.374120,-0.002691,-0.383328,0.923605,-0.002358
1779950498.055970,-0.481443,0.121898,0.374120,-0.002691,-0.383328,0.923605,-0.002358
1779950498.265972,-0.481443,0.121898,0.374120,-0.002691,-0.383328,0.923605,-0.002358
1779950498.475972,-0.481443,0.121898,0.374120,-0.002691,-0.383333,0.923603,-0.002358
1779950498.685971,-0.481443,0.121898,0.374120,-0.002691,-0.383333,0.923603,-0.002358
1779950498.890984,-0.481443,0.121898,0.374120,-0.002691,-0.383333,0.923603,-0.002358
1779950499.090996,-0.481443,0.121898,0.374120,-0.002691,-0.383333,0.923603,-0.002358
1779950499.290977,-0.481443,0.121898,0.374126,-0.002695,-0.383333,0.923603,-0.002353
1779950499.490977,-0.481444,0.121901,0.374127,-0.002698,-0.383326,0.923606,-0.002349
1779950499.690976,-0.481119,0.121770,0.371377,-0.000978,-0.383284,0.923619,-0.004499
1779950499.890988,-0.481055,0.121755,0.370763,-0.000663,-0.383270,0.923623,-0.004891
1779950500.090977,-0.481095,0.121775,0.370838,-0.000764,-0.383275,0.923622,-0.004773
1779950500.290978,-0.483194,0.122905,0.373041,0.007329,0.383329,-0.923577,-0.003341
1779950500.490975,-0.483188,0.122900,0.372943,0.007205,0.383328,-0.923579,-0.003180
1779950500.690978,-0.485037,0.123934,0.368413,0.004276,0.383302,-0.923613,0.000465
1779950500.890986,-0.486600,0.124800,0.364500,-0.001748,-0.383279,0.923624,-0.003609
1779950501.090976,-0.488246,0.125702,0.360246,0.000996,-0.383256,0.923615,-0.007022
1779950501.290978,-0.488932,0.126061,0.358431,0.002185,-0.383258,0.923599,-0.008501
1779950501.490974,-0.488918,0.126056,0.358463,0.002174,-0.383256,0.923601,-0.008487
1779950501.690974,-0.488884,0.126197,0.358461,0.002183,-0.383126,0.923654,-0.008477
1779950501.891023,-0.488693,0.126950,0.358440,0.002190,-0.382417,0.923948,-0.008495
1779950502.090970,-0.488677,0.126935,0.358354,0.002256,-0.382422,0.923945,-0.008577
1779950502.290980,-0.488937,0.125909,0.358462,0.002182,-0.383385,0.923547,-0.008502
1779950502.490975,-0.488964,0.125938,0.358697,0.002029,-0.383375,0.923553,-0.008313
1779950502.690982,-0.488943,0.126028,0.358765,0.001989,-0.383292,0.923588,-0.008257
1779950502.890999,-0.488928,0.126020,0.358551,0.002131,-0.383290,0.923587,-0.008433
1779950503.090974,-0.488875,0.125987,0.358333,0.002288,-0.383292,0.923584,-0.008636
1779950503.290972,-0.488163,0.125552,0.356509,0.003449,-0.383314,0.923556,-0.010097
1779950503.490974,-0.488117,0.125537,0.356397,0.003516,-0.383305,0.923559,-0.010181
1779950503.690975,-0.488101,0.125554,0.356270,0.003638,-0.383283,0.923566,-0.010325
1779950503.890983,-0.487642,0.125546,0.355098,0.004385,-0.383077,0.923638,-0.011233
1779950504.091264,-0.484739,0.128600,0.350346,0.007283,-0.379172,0.925177,-0.014919
1779950504.290974,-0.483658,0.132307,0.350137,0.007343,-0.375592,0.926633,-0.015097
1779950504.490977,-0.482411,0.136563,0.349973,0.007388,-0.371478,0.928287,-0.015280
1779950504.690972,-0.482178,0.136664,0.349487,0.007694,-0.371281,0.928356,-0.015683
1779950504.890992,-0.479734,0.135276,0.343292,0.011435,-0.371193,0.928260,-0.020447
1779950505.090975,-0.479594,0.135192,0.342932,0.011654,-0.371192,0.928252,-0.020726
1779950505.290974,-0.479570,0.135212,0.342875,0.011701,-0.371170,0.928259,-0.020772
1779950505.491160,-0.479563,0.135238,0.342876,0.011705,-0.371152,0.928266,-0.020763
1779950505.690975,-0.479555,0.135238,0.342851,0.011726,-0.371185,0.928252,-0.020783
1779950505.890990,-0.479555,0.135235,0.342844,0.011730,-0.371327,0.928195,-0.020794
1779950506.090972,-0.479559,0.135249,0.342823,0.011745,-0.371413,0.928160,-0.020809
1779950506.290974,-0.479633,0.135286,0.342618,0.011742,-0.377460,0.925712,-0.021050
1779950506.490974,-0.480954,0.136135,0.338837,0.013813,-0.389002,0.920813,-0.024307
1779950506.690970,-0.481785,0.137503,0.335786,0.015691,-0.388229,0.921039,-0.026821
1779950506.890986,-0.479919,0.144089,0.335595,0.015631,-0.381944,0.923656,-0.027094
1779950507.090972,-0.478848,0.147583,0.335583,0.015547,-0.378571,0.925043,-0.027170
1779950507.290974,-0.478342,0.149165,0.335556,0.015525,-0.377034,0.925669,-0.027228
1779950507.490972,-0.478283,0.149100,0.335403,0.015631,-0.377054,0.925655,-0.027371
1779950507.690974,-0.476723,0.148078,0.331616,0.017901,-0.377044,0.925521,-0.030468
1779950507.890986,-0.476399,0.147894,0.330855,0.018349,-0.377021,0.925502,-0.031070
1779950508.090971,-0.476389,0.147919,0.330853,0.018361,-0.376998,0.925511,-0.031073
1779950508.290979,-0.476377,0.147940,0.330850,0.018417,-0.377005,0.925508,-0.031036
1779950508.490979,-0.475381,0.149554,0.330847,0.025118,-0.377295,0.925384,-0.026123
1779950508.690974,-0.474464,0.151034,0.330876,0.031376,-0.377568,0.925200,-0.021529
1779950508.890988,-0.474447,0.151055,0.330859,0.031390,-0.377542,0.925209,-0.021551
1779950509.090971,-0.473574,0.150572,0.330047,0.033818,-0.377482,0.925065,-0.024858
1779950509.290975,-0.472474,0.149944,0.329197,0.036979,-0.377411,0.924848,-0.029156
1779950509.490974,-0.472459,0.150023,0.329205,0.036953,-0.377340,0.924879,-0.029128
1779950509.690973,-0.471060,0.154397,0.329213,0.036791,-0.373052,0.926618,-0.029279
1779950509.890988,-0.470770,0.155289,0.329225,0.036756,-0.372176,0.926971,-0.029303
1779950510.090975,-0.470742,0.155356,0.329232,0.036802,-0.372123,0.926992,-0.029263
1779950510.290974,-0.469543,0.157281,0.329309,0.044760,-0.372466,0.926668,-0.023478
1779950510.490973,-0.468766,0.158512,0.329378,0.049936,-0.372684,0.926404,-0.019730
1779950510.690977,-0.468732,0.158562,0.329471,0.049879,-0.372626,0.926432,-0.019655
1779950510.891019,-0.467317,0.162147,0.329964,0.049471,-0.368976,0.927917,-0.019458
1779950511.090974,-0.465856,0.164659,0.332342,0.041988,-0.364320,0.930070,-0.021850
1779950511.290972,-0.464716,0.165377,0.336243,0.028888,-0.359813,0.932210,-0.026145
1779950511.490973,-0.463808,0.167663,0.336394,0.028674,-0.357450,0.933126,-0.026142
1779950511.690971,-0.463789,0.167618,0.336355,0.028777,-0.357489,0.933106,-0.026194
1779950511.891330,-0.463775,0.167614,0.336334,0.028819,-0.357489,0.933104,-0.026219
1779950512.090974,-0.463772,0.167618,0.336329,0.028834,-0.357496,0.933101,-0.026225
1779950512.290977,-0.463438,0.167278,0.335962,0.029856,-0.357578,0.932995,-0.027683
1779950512.490977,-0.461988,0.166363,0.334702,0.033945,-0.357481,0.932705,-0.033424
1779950512.690974,-0.461277,0.168417,0.334781,0.033880,-0.355455,0.933485,-0.033305
1779950512.891008,-0.459449,0.173157,0.334687,0.033823,-0.350625,0.935299,-0.033668
1779950513.090976,-0.457917,0.172335,0.333348,0.037866,-0.350390,0.935003,-0.039534
1779950513.290972,-0.457065,0.171918,0.332740,0.040088,-0.350212,0.934838,-0.042688
1779950513.490975,-0.455240,0.174944,0.333046,0.052276,-0.350988,0.934332,-0.033134
1779950513.690974,-0.454304,0.176277,0.333175,0.058215,-0.351335,0.933988,-0.029004
1779950513.891004,-0.456374,0.177775,0.338515,0.055126,-0.351231,0.934343,-0.024532
1779950514.090978,-0.458275,0.179113,0.343602,0.052455,-0.351160,0.934617,-0.020664
1779950514.290978,-0.456642,0.178128,0.345921,0.059610,-0.351149,0.933904,-0.031052
1779950514.490977,-0.456338,0.180908,0.350318,0.060488,-0.348746,0.934695,-0.032597
1779950514.690974,-0.456092,0.181763,0.350460,0.060312,-0.347903,0.935026,-0.032432
1779950514.890984,-0.455895,0.182274,0.350461,0.060285,-0.347373,0.935224,-0.032451
1779950515.090976,-0.455853,0.182379,0.350455,0.060284,-0.347265,0.935264,-0.032463
1779950515.290977,-0.455731,0.182679,0.350452,0.060276,-0.346953,0.935380,-0.032485
1779950515.490971,-0.455711,0.182723,0.350474,0.060266,-0.346897,0.935402,-0.032475
1779950515.690975,-0.455395,0.183368,0.350433,0.060366,-0.346203,0.935644,-0.032711
1779950515.891013,-0.450422,0.187673,0.349448,0.067192,-0.339850,0.937028,-0.044325
1779950516.090975,-0.450494,0.188207,0.357128,0.070926,-0.339458,0.936613,-0.049938
1779950516.290973,-0.452435,0.190059,0.366062,0.069103,-0.339105,0.937017,-0.047235
1779950516.490974,-0.453111,0.190707,0.368195,0.067896,-0.338980,0.937240,-0.045436
1779950516.690976,-0.451634,0.194280,0.368301,0.067659,-0.335300,0.938572,-0.045597
1779950516.891039,-0.450350,0.197287,0.368368,0.067466,-0.332180,0.939686,-0.045767
