No,Point Name,X (mm),Y (mm),Z (mm)
1,Point1,47.6390466345611,53.4924933862043,-50
2,Point2,47.0221233122399,56.9492467025085,-50
3,Point3,46.1511453867265,60.3509215550028,-50
4,Point4,45.0295833979315,63.6779444831319,-50
5,Point5,43.6631129799604,66.9113855031099,-50
6,Point6,42.0576147649391,70.0327909337271,-50
7,Point7,40.2207574600755,73.024741690345,-50
8,Point8,38.1620652580336,75.8691468689006,-50
9,Point9,35.8919949130824,78.548178028461,-50
10,Point10,33.4235519615282,81.04520838497,-50
11,Point11,30.7704147134764,83.3439695319146,-50
12,Point12,27.9474967891559,85.4298251043982,-50
13,Point13,24.9702974527844,87.2898866718482,-50
14,Point14,21.8558114392355,88.910910774012,-50
15,Point15,18.6230026174521,90.2817969498498,-50
16,Point16,15.2917939236357,91.3920139616576,-50
17,Point17,11.8833528891714,92.2329099211669,-50
18,Point18,8.41928154491394,92.7980225664809,-50
19,Point19,4.92069968974901,93.0817303756961,-50
20,Point20,1.40975926653552,93.0810116271217,-50
21,Point21,-2.08991460319192,92.7935743784113,-50
22,Point22,-5.55421892124494,92.219728371546,-50
23,Point23,-8.95866964594458,91.3619685458317,-50
24,Point24,-12.279020266032,90.2243185251729,-50
25,Point25,-15.4924785768072,88.8134169966009,-50
26,Point26,-18.576625230252,87.136307816451,-50
27,Point27,-21.5082345462386,85.2037405993981,-50
28,Point28,-24.2645403009012,83.0279154802929,-50
29,Point29,-26.8234695778417,80.623792757208,-50
30,Point30,-29.1644541244931,78.0084746019076,-50
31,Point31,-31.2684317726996,75.199924625455,-50
32,Point32,-33.1190912004612,72.2172455061412,-50
33,Point33,-34.699361407185,69.0823764339853,-50
34,Point34,-35.9950544069433,65.8197836624579,-50
35,Point35,-36.9933696196374,62.4543201488776,-50
36,Point36,-37.6844611259076,59.0124064788762,-50
37,Point37,-38.0600282681227,55.522105395103,-50
38,Point38,-38.1147177416677,52.0122178032352,-50
39,Point39,-37.8456092492059,48.5119880480172,-50
40,Point40,-37.2523926915801,45.0520437527603,-50
41,Point41,-36.3379876199994,41.663029066609,-50
42,Point42,-35.1075206634203,38.3752619035658,-50
43,Point43,-33.5699702320146,35.2194754671355,-50
44,Point44,-31.7366941138951,32.2261288070094,-50
45,Point45,-29.6224335205432,29.4238626799276,-50
46,Point46,-27.2446191307753,26.8414444257972,-50
47,Point47,-24.6245753688245,24.5056719941164,-50
48,Point48,-21.7852302454276,22.4416952799575,-50
49,Point49,-18.7533662432396,20.6723621661603,-50
50,Point50,-15.5583795801183,19.2190416668761,-50
51,Point51,-12.2317266955423,18.0991900617885,-50
52,Point52,-8.80712574870873,17.328210428538,-50
53,Point53,-5.32125993658796,16.9176259095605,-50
54,Point54,-1.81158291849949,16.8756762951135,-50
55,Point55,1.68307399009682,17.2064635082127,-50
56,Point56,5.12174805943507,17.9100034668928,-50
57,Point57,8.46372092736333,18.9820199948,-50
58,Point58,11.6686865802653,20.4136958790195,-50
59,Point59,14.6950241438715,22.191494117299,-50
60,Point60,17.5030793337987,24.2965461895266,-50
61,Point61,20.0548940841539,26.7066581267602,-50
62,Point62,22.3136955091881,29.3930918548059,-50
63,Point63,24.2453288395362,32.3229199841309,-50
64,Point64,25.8198232456094,35.4597948097228,-50
65,Point65,27.0103003922426,38.7615550924472,-50
66,Point66,27.794086562381,42.1820090222862,-50
67,Point67,28.1547868226506,45.6730139674816,-50
68,Point68,28.0807558998272,49.1820100786819,-50
69,Point69,27.5671003074706,52.6531307997728,-50
70,Point70,26.6159393705366,56.0310143007186,-50
71,Point71,25.2361001999269,59.2581123426742,-50
72,Point72,23.4453828502203,62.2755092869977,-50
73,Point73,21.2687248660575,65.0275661502649,-50
74,Point74,18.7387511762131,67.4600167826726,-50
75,Point75,15.8987199379974,69.5202319919685,-50
76,Point76,12.7984700964282,71.1621725987851,-50
77,Point77,9.49446853058246,72.3454771485337,-50
78,Point78,6.05454389328331,73.0356659071133,-50
79,Point79,2.55133577385955,73.2086126290052,-50
80,Point80,-0.939518032887712,72.8498464013128,-50
81,Point81,-4.3323055980836,71.9565721544316,-50
82,Point82,-7.53999507854929,70.5398797551534,-50
83,Point83,-10.4787645910955,68.6227695393347,-50
84,Point84,-13.0597240812898,66.2463599033199,-50
85,Point85,-15.1988115810859,63.4690556498874,-50
86,Point86,-16.8230006091013,60.3596283326855,-50
87,Point87,-17.8642904823525,57.0092368449404,-50
88,Point88,-18.2696710501394,53.5284449129114,-50
89,Point89,-18.0055781204086,50.0317118874533,-50
90,Point90,-17.0581144565285,46.6532685663506,-50
91,Point91,-15.4447679818803,43.5441533040086,-50
92,Point92,-13.2096511749048,40.8465181295388,-50
93,Point93,-10.4338780307518,38.7082077625667,-50
94,Point94,-7.23941191121863,37.268634027682,-50
95,Point95,-3.79282648881149,36.6473338017024,-50
96,Point96,-0.30296263006672,36.9297525035035,-50
97,Point97,2.97732410203749,38.1520693587331,-50
98,Point98,5.75490379509563,40.2765355073157,-50
99,Point99,7.7175249162321,43.1698899050749,-50
100,Point100,8.55143054137238,46.5598898114335,-50
