timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1779949465.227268,-0.481442,0.121900,0.374112,-0.002702,-0.383336,0.923602,-0.002366
1779949465.445514,-0.481442,0.121900,0.374112,-0.002702,-0.383336,0.923602,-0.002366
1779949465.660534,-0.481442,0.121900,0.374112,-0.002702,-0.383336,0.923602,-0.002366
1779949465.863933,-0.481442,0.121900,0.374112,-0.002702,-0.383336,0.923602,-0.002366
1779949466.076770,-0.481442,0.121900,0.374112,-0.002702,-0.383336,0.923602,-0.002366
1779949466.300114,-0.481442,0.121900,0.374112,-0.002702,-0.383336,0.923602,-0.002366
1779949466.504455,-0.481442,0.121900,0.374112,-0.002702,-0.383336,0.923602,-0.002366
1779949466.707123,-0.481535,0.121943,0.373716,-0.003008,-0.383261,0.923633,-0.001988
1779949466.905031,-0.481592,0.121957,0.371731,-0.003154,-0.383119,0.923692,-0.001812
1779949467.111976,-0.481542,0.121945,0.367420,-0.003016,-0.383155,0.923677,-0.001993
1779949467.297573,-0.480216,0.123226,0.363789,-0.002732,-0.383597,0.923494,-0.002342
1779949467.512470,-0.478250,0.125246,0.362269,-0.002643,-0.383509,0.923530,-0.002454
1779949467.696253,-0.477153,0.126443,0.360772,-0.002661,-0.383527,0.923523,-0.002434
1779949467.894931,-0.475915,0.127656,0.357592,-0.002588,-0.383543,0.923516,-0.002534
1779949468.095915,-0.474961,0.128620,0.354696,-0.002736,-0.383330,0.923604,-0.002351
1779949468.309129,-0.474681,0.128834,0.353645,-0.002821,-0.383417,0.923568,-0.002243
1779949468.509287,-0.474538,0.128802,0.352828,-0.002877,-0.383453,0.923553,-0.002173
1779949468.706483,-0.473956,0.129317,0.350758,-0.002998,-0.383585,0.923498,-0.002021
1779949468.904123,-0.472250,0.131131,0.346852,-0.002717,-0.383505,0.923532,-0.002392
1779949469.111197,-0.471284,0.132289,0.345389,-0.002606,-0.383553,0.923512,-0.002542
1779949469.307699,-0.470392,0.133209,0.344355,-0.002665,-0.383489,0.923538,-0.002459
1779949469.505556,-0.468476,0.135105,0.341704,-0.002673,-0.383506,0.923531,-0.002455
1779949469.708859,-0.466339,0.137188,0.337183,-0.002728,-0.383463,0.923549,-0.002392
1779949469.901250,-0.465761,0.137541,0.335139,-0.002970,-0.383536,0.923519,-0.002069
1779949470.106345,-0.465204,0.138134,0.333648,-0.002778,-0.383542,0.923516,-0.002335
